# r    B_y(Along Chain)    B_x(Across Chains)
0    0    0
1    0.23625    0.185675
2    0.351163    0.288644
3    0.436417    0.353091
4    0.507266    0.399727
5    0.575004    0.437807
6    0.641208    0.46442
7    0.713525    0.489806
8    0.780893    0.507954
9    0.848334    0.523016
10    0.918036    0.537339
11    0.986005    0.552385
12    1.04575    0.556826
13    1.09462    0.559429
14    1.14976    0.558121
15    1.20182    0.56065
16    1.25764    nan
17    1.31227    nan
18    1.36421    nan
19    1.41904    nan
20    1.47608    nan
21    1.53075    nan
22    1.58459    nan
23    1.63794    nan
24    1.68398    nan
25    1.72745    nan
26    1.77333    nan
27    1.81934    nan
28    1.85492    nan
29    1.89074    nan
30    1.93098    nan
31    1.96395    nan
32    1.99216    nan
33    2.02219    nan
34    2.04817    nan
35    2.08218    nan
36    2.10631    nan
37    2.13312    nan
38    2.15959    nan
39    2.17708    nan
40    2.19451    nan
41    2.21742    nan
42    2.24058    nan
43    2.25811    nan
44    2.28417    nan
45    2.30714    nan
46    2.33194    nan
47    2.35417    nan
48    2.37897    nan
49    2.39939    nan
50    2.42449    nan
51    2.45209    nan
52    2.47773    nan
53    2.50479    nan
54    2.53186    nan
55    2.55876    nan
56    2.58692    nan
57    2.61847    nan
58    2.64854    nan
59    2.68609    nan
60    2.71889    nan
61    2.74677    nan
62    2.7709    nan
63    2.79832    nan
64    2.82725    nan
65    2.86422    nan
66    2.89444    nan
67    2.92739    nan
68    2.95055    nan
69    2.97762    nan
70    3.00264    nan
71    3.02038    nan
72    3.04442    nan
73    3.0688    nan
74    3.09    nan
75    3.10781    nan
76    3.13262    nan
77    3.1558    nan
78    3.18218    nan
79    3.20763    nan
80    3.23324    nan
81    3.26891    nan
82    3.30122    nan
83    3.33979    nan
84    3.37925    nan
85    3.41741    nan
86    3.44643    nan
87    3.47551    nan
88    3.50875    nan
89    3.54132    nan
90    3.57356    nan
91    3.61042    nan
92    3.65126    nan
93    3.68377    nan
94    3.71283    nan
95    3.7576    nan
96    3.79926    nan
97    3.83697    nan
98    3.87057    nan
99    3.90243    nan
100    3.93771    nan
101    3.9709    nan
102    3.99774    nan
103    4.01667    nan
104    4.03731    nan
105    4.05747    nan
106    4.08079    nan
107    4.10167    nan
108    4.12281    nan
109    4.14764    nan
110    4.16742    nan
111    4.19138    nan
112    4.21467    nan
113    4.23719    nan
114    4.25862    nan
115    4.27621    nan
116    4.28754    nan
117    4.29852    nan
118    4.30425    nan
119    4.31058    nan
120    4.30932    nan
121    4.31059    nan
122    4.31453    nan
123    4.31282    nan
124    4.31638    nan
125    4.32053    nan
126    4.32573    nan
127    4.33308    nan
128    4.34561    nan
129    4.3586    nan
130    4.37481    nan
131    4.39266    nan
132    4.41048    nan
133    4.4284    nan
134    4.44378    nan
135    4.45456    nan
136    4.46877    nan
137    4.48748    nan
138    4.50669    nan
139    4.53165    nan
140    4.55163    nan
141    4.56994    nan
142    4.59761    nan
143    4.62064    nan
144    4.64966    nan
145    4.68256    nan
146    4.70818    nan
147    4.73343    nan
148    4.754    nan
149    4.77445    nan
150    4.78705    nan
151    4.80024    nan
152    4.80987    nan
153    4.8155    nan
154    4.81626    nan
155    4.81361    nan
156    4.80276    nan
157    4.7844    nan
158    4.76993    nan
159    4.75142    nan
160    4.74038    nan
161    4.7261    nan
162    4.70993    nan
163    4.69649    nan
164    4.68356    nan
165    4.67489    nan
166    4.66106    nan
167    4.64082    nan
168    4.62999    nan
169    4.61809    nan
170    4.60737    nan
171    4.59278    nan
172    4.57532    nan
173    4.55346    nan
174    4.53229    nan
175    4.51394    nan
176    4.49733    nan
177    4.48489    nan
178    4.46359    nan
179    4.43731    nan
180    4.41084    nan
181    4.38469    nan
182    4.37061    nan
183    4.35701    nan
184    4.34736    nan
185    4.33874    nan
186    4.32518    nan
187    4.31532    nan
188    4.30845    nan
189    4.2976    nan
190    4.28886    nan
191    4.27694    nan
192    4.26301    nan
193    4.25336    nan
194    4.24008    nan
195    4.22486    nan
196    4.20893    nan
197    4.19491    nan
198    4.18034    nan
199    4.16471    nan
200    4.15191    nan
201    4.13585    nan
202    4.12086    nan
203    4.11347    nan
204    4.10351    nan
205    4.09408    nan
206    4.0828    nan
207    4.07014    nan
208    4.05933    nan
209    4.04694    nan
210    4.03468    nan
211    4.03146    nan
212    4.0308    nan
213    4.02408    nan
214    4.02398    nan
215    4.02481    nan
216    4.0268    nan
217    4.02841    nan
218    4.03572    nan
219    4.03818    nan
220    4.04306    nan
221    4.04771    nan
222    4.05504    nan
223    4.0682    nan
224    4.08593    nan
225    4.09916    nan
226    4.11216    nan
227    4.12434    nan
228    4.13558    nan
229    4.14662    nan
230    4.1559    nan
231    4.16004    nan
232    4.16708    nan
233    4.16861    nan
234    4.17143    nan
235    4.17753    nan
236    4.18402    nan
237    4.19011    nan
238    4.19111    nan
239    4.19455    nan
240    4.20133    nan
241    4.20591    nan
242    4.21287    nan
243    4.22171    nan
244    4.22757    nan
245    4.23863    nan
246    4.24437    nan
247    4.25119    nan
248    4.26042    nan
249    4.26854    nan
250    4.26854    nan
251    4.27016    nan
252    4.27746    nan
253    4.27447    nan
254    4.26675    nan
255    4.26082    nan
