# k    qy    S_u(qy)
1    0.00613592    18.0408
2    0.0122718    21.9573
3    0.0184078    15.6049
4    0.0245437    9.5107
5    0.0306796    1.59803
6    0.0368155    0.0305946
7    0.0429515    0.296961
8    0.0490874    0.0189066
9    0.0552233    0.0437016
10    0.0613592    0.213499
11    0.0674952    0.00614601
12    0.0736311    0.00684479
13    0.079767    0.0122029
14    0.0859029    0.0259328
15    0.0920388    0.00555745
16    0.0981748    0.0223727
17    0.104311    0.00742513
18    0.110447    0.0296645
19    0.116583    0.00333834
20    0.122718    0.0136482
21    0.128854    0.00296645
22    0.13499    0.00123245
23    0.141126    0.00532741
24    0.147262    0.00459638
25    0.153398    0.00205969
26    0.159534    0.00194383
27    0.16567    0.000926855
28    0.171806    0.0045562
29    0.177942    0.00470169
30    0.184078    0.00137032
31    0.190214    0.000705316
32    0.19635    0.00160498
33    0.202485    0.00113582
34    0.208621    0.00221053
35    0.214757    0.00164134
36    0.220893    0.00109499
37    0.227029    0.00160387
38    0.233165    0.00129887
39    0.239301    0.00174516
40    0.245437    0.00127997
41    0.251573    0.00192302
42    0.257709    0.00156179
43    0.263845    0.00163423
44    0.269981    0.00131729
45    0.276117    0.00126221
46    0.282252    0.00134359
47    0.288388    0.000792157
48    0.294524    0.00126879
49    0.30066    0.00176187
50    0.306796    0.00138617
51    0.312932    0.00079877
52    0.319068    0.00115435
53    0.325204    0.000619716
54    0.33134    0.000894287
55    0.337476    0.00074227
56    0.343612    0.000730098
57    0.349748    0.00126503
58    0.355884    0.000696213
59    0.362019    0.00122338
60    0.368155    0.00100932
61    0.374291    0.000812504
62    0.380427    0.000615827
63    0.386563    0.000580996
64    0.392699    0.000592558
65    0.398835    0.000451
66    0.404971    0.000618528
67    0.411107    0.000359474
68    0.417243    0.000720221
69    0.423379    0.000448949
70    0.429515    0.000414113
71    0.435651    0.000805193
72    0.441786    0.000598317
73    0.447922    0.000556488
74    0.454058    0.00084356
75    0.460194    0.000485467
76    0.46633    0.000403629
77    0.472466    0.000711246
78    0.478602    0.000518122
79    0.484738    0.000699415
80    0.490874    0.000527628
81    0.49701    0.000659946
82    0.503146    0.000592105
83    0.509282    0.000890423
84    0.515418    0.000495422
85    0.521553    0.000654955
86    0.527689    0.000507608
87    0.533825    0.000351456
88    0.539961    0.000614199
89    0.546097    0.000376392
90    0.552233    0.00027164
91    0.558369    0.000469177
92    0.564505    0.000594579
93    0.570641    0.000313952
94    0.576777    0.000316716
95    0.582913    0.00048491
96    0.589049    0.000410682
97    0.595185    0.00053116
98    0.60132    0.000681958
99    0.607456    0.000480708
100    0.613592    0.000307108
101    0.619728    0.00044682
102    0.625864    0.000301851
103    0.632    0.000326724
104    0.638136    0.000331806
105    0.644272    0.0004537
106    0.650408    0.000582437
107    0.656544    0.00044572
108    0.66268    0.000526967
109    0.668816    0.00033443
110    0.674952    0.000307937
111    0.681087    0.000358254
112    0.687223    0.000390773
113    0.693359    0.000330246
114    0.699495    0.00033591
115    0.705631    0.000328454
116    0.711767    0.000470451
117    0.717903    0.000436514
118    0.724039    0.000347851
119    0.730175    0.000348538
120    0.736311    0.000369371
121    0.742447    0.000378754
122    0.748583    0.000283977
123    0.754719    0.000282869
124    0.760854    0.000258542
125    0.76699    0.000354154
126    0.773126    0.000205921
127    0.779262    0.000343389
128    0.785398    0.000521741
129    0.791534    0.000328982
130    0.79767    0.000337373
131    0.803806    0.000305349
132    0.809942    0.000243196
133    0.816078    0.00033777
134    0.822214    0.000177776
135    0.82835    0.000250999
136    0.834486    0.00027455
137    0.840621    0.000241029
