# r    B_y(Along Chain)    B_x(Across Chains)
0    0    0
1    0.276903    0.263737
2    0.446598    0.396429
3    0.60038    0.48632
4    0.763731    0.557627
5    0.945631    0.616451
6    1.14373    0.66507
7    1.36172    0.71309
8    1.59353    0.750907
9    1.84458    0.782078
10    2.11208    0.812664
11    2.40039    0.839532
12    2.70403    0.863051
13    3.01976    0.880243
14    3.35494    0.893246
15    3.70339    0.89685
16    4.06853    nan
17    4.44747    nan
18    4.84137    nan
19    5.2524    nan
20    5.67743    nan
21    6.12132    nan
22    6.57365    nan
23    7.04406    nan
24    7.52401    nan
25    8.01649    nan
26    8.5272    nan
27    9.04666    nan
28    9.57345    nan
29    10.1091    nan
30    10.6609    nan
31    11.2187    nan
32    11.7777    nan
33    12.3438    nan
34    12.916    nan
35    13.5012    nan
36    14.0864    nan
37    14.6803    nan
38    15.2788    nan
39    15.8832    nan
40    16.4936    nan
41    17.1165    nan
42    17.7454    nan
43    18.3776    nan
44    19.0188    nan
45    19.6616    nan
46    20.3102    nan
47    20.9644    nan
48    21.6281    nan
49    22.2972    nan
50    22.9703    nan
51    23.6496    nan
52    24.3329    nan
53    25.0265    nan
54    25.7201    nan
55    26.4202    nan
56    27.1221    nan
57    27.8286    nan
58    28.5369    nan
59    29.2447    nan
60    29.9534    nan
61    30.6646    nan
62    31.3764    nan
63    32.0905    nan
64    32.803    nan
65    33.519    nan
66    34.2331    nan
67    34.9489    nan
68    35.6543    nan
69    36.3648    nan
70    37.0727    nan
71    37.7787    nan
72    38.4898    nan
73    39.1947    nan
74    39.9015    nan
75    40.6037    nan
76    41.3052    nan
77    42.0019    nan
78    42.6987    nan
79    43.3879    nan
80    44.0734    nan
81    44.7596    nan
82    45.438    nan
83    46.1119    nan
84    46.7829    nan
85    47.4451    nan
86    48.1025    nan
87    48.754    nan
88    49.4095    nan
89    50.056    nan
90    50.6945    nan
91    51.3253    nan
92    51.9511    nan
93    52.565    nan
94    53.1692    nan
95    53.7755    nan
96    54.3804    nan
97    54.9751    nan
98    55.5643    nan
99    56.1465    nan
100    56.7278    nan
101    57.3013    nan
102    57.8669    nan
103    58.424    nan
104    58.983    nan
105    59.5446    nan
106    60.0995    nan
107    60.6493    nan
108    61.1968    nan
109    61.7423    nan
110    62.2835    nan
111    62.8195    nan
112    63.3556    nan
113    63.8856    nan
114    64.4194    nan
115    64.9496    nan
116    65.4777    nan
117    66.006    nan
118    66.5294    nan
119    67.0504    nan
120    67.5675    nan
121    68.0821    nan
122    68.5968    nan
123    69.1096    nan
124    69.6201    nan
125    70.1327    nan
126    70.6442    nan
127    71.1618    nan
128    71.6753    nan
129    72.1872    nan
130    72.6978    nan
131    73.204    nan
132    73.7069    nan
133    74.2092    nan
134    74.7099    nan
135    75.206    nan
136    75.7065    nan
137    76.2067    nan
138    76.7021    nan
139    77.1953    nan
140    77.6837    nan
141    78.1697    nan
142    78.6537    nan
143    79.1336    nan
144    79.6195    nan
145    80.1004    nan
146    80.578    nan
147    81.0599    nan
148    81.5381    nan
149    82.019    nan
150    82.5013    nan
151    82.9834    nan
152    83.4662    nan
153    83.9492    nan
154    84.4353    nan
155    84.9265    nan
156    85.4199    nan
157    85.9171    nan
158    86.4224    nan
159    86.929    nan
160    87.4368    nan
161    87.9444    nan
162    88.4553    nan
163    88.972    nan
164    89.4894    nan
165    90.0139    nan
166    90.5435    nan
167    91.0752    nan
168    91.6205    nan
169    92.1721    nan
170    92.73    nan
171    93.2928    nan
172    93.8624    nan
173    94.4317    nan
174    95.0076    nan
175    95.5859    nan
176    96.1674    nan
177    96.7523    nan
178    97.3421    nan
179    97.9309    nan
180    98.525    nan
181    99.1189    nan
182    99.7193    nan
183    100.324    nan
184    100.932    nan
185    101.544    nan
186    102.156    nan
187    102.775    nan
188    103.394    nan
189    104.017    nan
190    104.644    nan
191    105.269    nan
192    105.894    nan
193    106.52    nan
194    107.144    nan
195    107.771    nan
196    108.398    nan
197    109.021    nan
198    109.644    nan
199    110.264    nan
200    110.885    nan
201    111.51    nan
202    112.132    nan
203    112.757    nan
204    113.379    nan
205    113.995    nan
206    114.615    nan
207    115.228    nan
208    115.842    nan
209    116.454    nan
210    117.067    nan
211    117.686    nan
212    118.305    nan
213    118.922    nan
214    119.543    nan
215    120.161    nan
216    120.779    nan
217    121.401    nan
218    122.022    nan
219    122.644    nan
220    123.265    nan
221    123.893    nan
222    124.524    nan
223    125.162    nan
224    125.809    nan
225    126.454    nan
226    127.1    nan
227    127.745    nan
228    128.394    nan
229    129.047    nan
230    129.706    nan
231    130.369    nan
232    131.031    nan
233    131.696    nan
234    132.363    nan
235    133.032    nan
236    133.703    nan
237    134.373    nan
238    135.043    nan
239    135.71    nan
240    136.376    nan
241    137.04    nan
242    137.701    nan
243    138.359    nan
244    139.01    nan
245    139.656    nan
246    140.303    nan
247    140.947    nan
248    141.59    nan
249    142.233    nan
250    142.865    nan
251    143.496    nan
252    144.128    nan
253    144.749    nan
254    145.365    nan
255    145.979    nan
256    146.587    nan
257    147.195    nan
258    147.8    nan
259    148.399    nan
260    148.992    nan
261    149.579    nan
262    150.161    nan
263    150.737    nan
264    151.309    nan
265    151.876    nan
266    152.439    nan
267    153.001    nan
268    153.556    nan
269    154.105    nan
270    154.647    nan
271    155.186    nan
272    155.728    nan
273    156.263    nan
274    156.795    nan
275    157.324    nan
276    157.848    nan
277    158.366    nan
278    158.88    nan
279    159.388    nan
280    159.896    nan
281    160.398    nan
282    160.895    nan
283    161.383    nan
284    161.871    nan
285    162.354    nan
286    162.836    nan
287    163.308    nan
288    163.769    nan
289    164.231    nan
290    164.686    nan
291    165.135    nan
