# k    qy    S_u(qy)
245    1.5033    0.000182198
246    1.50944    0.000150928
247    1.51557    0.000158397
248    1.52171    0.000194374
249    1.52784    0.000182212
250    1.53398    0.000164893
251    1.54012    0.00013972
252    1.54625    0.000121369
253    1.55239    0.000152523
254    1.55852    0.000132796
255    1.56466    0.000156987
256    1.5708    0.000130754
257    1.57693    0.000150206
258    1.58307    0.000164703
259    1.5892    0.000142892
260    1.59534    0.000174521
261    1.60148    0.000105575
262    1.60761    0.000146639
263    1.61375    0.000103713
264    1.61988    0.000128899
265    1.62602    0.000120501
266    1.63216    0.000119331
267    1.63829    0.00010016
268    1.64443    0.000118871
269    1.65056    0.000152918
270    1.6567    0.000116408
271    1.66284    0.000151049
272    1.66897    0.000146379
273    1.67511    0.000126868
274    1.68124    0.00016056
275    1.68738    0.000124185
276    1.69351    8.7994e-05
277    1.69965    0.000158384
278    1.70579    0.000112198
279    1.71192    0.000144153
280    1.71806    0.000159123
281    1.72419    0.000167876
282    1.73033    0.000142667
283    1.73647    0.000120436
284    1.7426    0.000163915
285    1.74874    0.000122423
286    1.75487    0.000150802
287    1.76101    0.00014077
288    1.76715    0.000158002
289    1.77328    0.000101209
290    1.77942    0.000126243
291    1.78555    9.17445e-05
292    1.79169    0.000109703
293    1.79783    0.000142175
294    1.80396    0.000152846
295    1.8101    0.000153533
296    1.81623    0.000104378
297    1.82237    0.000120962
298    1.82851    9.28896e-05
299    1.83464    0.000130383
300    1.84078    0.000114598
301    1.84691    0.000108562
302    1.85305    9.6107e-05
303    1.85918    0.000166699
304    1.86532    0.000105238
305    1.87146    0.000108928
306    1.87759    0.00014007
307    1.88373    0.000139759
308    1.88986    0.000119643
309    1.896    0.000139688
310    1.90214    0.000108712
311    1.90827    0.000115481
312    1.91441    0.00012811
313    1.92054    9.18772e-05
314    1.92668    0.000143525
315    1.93282    0.000105512
316    1.93895    0.000118915
317    1.94509    0.000136739
318    1.95122    0.000157392
319    1.95736    0.000119465
320    1.9635    0.000109243
321    1.96963    0.000113542
322    1.97577    0.000104748
323    1.9819    0.000111709
324    1.98804    0.000128868
325    1.99418    0.000116944
326    2.00031    0.000133759
327    2.00645    0.000133564
328    2.01258    0.000108227
329    2.01872    8.67481e-05
330    2.02485    0.000107828
331    2.03099    0.000190757
332    2.03713    8.491e-05
333    2.04326    0.000111071
334    2.0494    0.000124924
335    2.05553    0.000115984
336    2.06167    0.000113117
337    2.06781    0.000145607
338    2.07394    8.34108e-05
339    2.08008    7.68084e-05
340    2.08621    0.000120637
341    2.09235    6.81976e-05
342    2.09849    0.000114639
343    2.10462    0.000135801
344    2.11076    8.51925e-05
345    2.11689    0.000100466
346    2.12303    0.000105977
347    2.12917    0.000100641
348    2.1353    0.000125136
349    2.14144    0.000103582
350    2.14757    9.08164e-05
351    2.15371    9.91191e-05
352    2.15984    9.95681e-05
353    2.16598    7.51673e-05
354    2.17212    9.45818e-05
355    2.17825    9.02508e-05
356    2.18439    0.000149012
357    2.19052    7.05727e-05
358    2.19666    0.000113017
