# r    B_y(Along Chain)    B_x(Across Chains)
0    0    0
1    0.28341    0.264169
2    0.471634    0.396104
3    0.655426    0.483174
4    0.860039    0.550969
5    1.09623    0.60531
6    1.36047    0.649361
7    1.65791    0.692714
8    1.98308    0.726593
9    2.34179    0.75352
10    2.73117    0.780007
11    3.15566    0.803056
12    3.60741    0.823373
13    4.08373    0.84016
14    4.58923    0.852695
15    5.11793    0.855512
16    5.67358    nan
17    6.25282    nan
18    6.85569    nan
19    7.48259    nan
20    8.13067    nan
21    8.80396    nan
22    9.49245    nan
23    10.205    nan
24    10.9336    nan
25    11.6803    nan
26    12.4505    nan
27    13.2345    nan
28    14.0296    nan
29    14.8374    nan
30    15.6645    nan
31    16.499    nan
32    17.3358    nan
33    18.1803    nan
34    19.0304    nan
35    19.8933    nan
36    20.7553    nan
37    21.6261    nan
38    22.5016    nan
39    23.3836    nan
40    24.2703    nan
41    25.1701    nan
42    26.0755    nan
43    26.983    nan
44    27.8983    nan
45    28.8159    nan
46    29.7382    nan
47    30.6632    nan
48    31.5957    nan
49    32.5311    nan
50    33.4667    nan
51    34.4058    nan
52    35.3477    nan
53    36.2976    nan
54    37.2438    nan
55    38.1925    nan
56    39.1402    nan
57    40.0898    nan
58    41.0387    nan
59    41.9848    nan
60    42.9304    nan
61    43.8759    nan
62    44.8228    nan
63    45.7707    nan
64    46.7149    nan
65    47.6628    nan
66    48.6107    nan
67    49.5618    nan
68    50.5023    nan
69    51.4479    nan
70    52.3933    nan
71    53.339    nan
72    54.2915    nan
73    55.2391    nan
74    56.188    nan
75    57.132    nan
76    58.0736    nan
77    59.0109    nan
78    59.9493    nan
79    60.8816    nan
80    61.8133    nan
81    62.7481    nan
82    63.6781    nan
83    64.6059    nan
84    65.5342    nan
85    66.4575    nan
86    67.3816    nan
87    68.3061    nan
88    69.2424    nan
89    70.1772    nan
90    71.1115    nan
91    72.0434    nan
92    72.9756    nan
93    73.9019    nan
94    74.8234    nan
95    75.7526    nan
96    76.6833    nan
97    77.6081    nan
98    78.5305    nan
99    79.45    nan
100    80.3714    nan
101    81.2865    nan
