# r    B_y(Along Chain)    B_x(Across Chains)
0    0    0
1    0.29631    0.264229
2    0.522922    0.397547
3    0.772231    0.487956
4    1.06914    0.561075
5    1.423    0.621859
6    1.83125    0.674108
7    2.29879    0.727057
8    2.81935    0.770918
9    3.39756    0.810013
10    4.03169    0.848458
11    4.72427    0.88262
12    5.47108    0.912774
13    6.26796    0.937162
14    7.12196    0.956849
15    8.02571    0.96462
16    8.98333    nan
17    9.99083    nan
18    11.0469    nan
19    12.1532    nan
20    13.3072    nan
21    14.5115    nan
22    15.7551    nan
23    17.0501    nan
24    18.3861    nan
25    19.7654    nan
26    21.192    nan
27    22.6571    nan
28    24.1608    nan
29    25.7049    nan
30    27.2945    nan
31    28.92    nan
32    30.5771    nan
33    32.2712    nan
34    34.0004    nan
35    35.7713    nan
36    37.5702    nan
37    39.4071    nan
38    41.2767    nan
39    43.1793    nan
40    45.1114    nan
41    47.0806    nan
42    49.0788    nan
43    51.1021    nan
44    53.1573    nan
45    55.2372    nan
46    57.3459    nan
47    59.4832    nan
48    61.6528    nan
49    63.848    nan
50    66.0681    nan
51    68.3155    nan
52    70.5891    nan
53    72.8926    nan
54    75.2157    nan
55    77.564    nan
56    79.9327    nan
57    82.3237    nan
58    84.7352    nan
59    87.1659    nan
60    89.6157    nan
61    92.0858    nan
62    94.5737    nan
63    97.078    nan
64    99.5935    nan
65    102.125    nan
66    104.669    nan
67    107.228    nan
68    109.787    nan
69    112.364    nan
70    114.952    nan
71    117.551    nan
72    120.169    nan
73    122.791    nan
74    125.425    nan
75    128.067    nan
76    130.717    nan
77    133.372    nan
78    136.037    nan
79    138.704    nan
80    141.378    nan
81    144.062    nan
82    146.747    nan
83    149.436    nan
84    152.128    nan
85    154.822    nan
86    157.519    nan
87    160.217    nan
88    162.929    nan
89    165.641    nan
90    168.356    nan
91    171.074    nan
92    173.795    nan
93    176.514    nan
94    179.229    nan
95    181.953    nan
96    184.683    nan
97    187.411    nan
98    190.139    nan
99    192.869    nan
100    195.605    nan
101    198.338    nan
102    201.066    nan
103    203.788    nan
104    206.514    nan
105    209.247    nan
106    211.978    nan
107    214.709    nan
108    217.443    nan
109    220.179    nan
110    222.915    nan
111    225.648    nan
112    228.384    nan
113    231.115    nan
114    233.851    nan
115    236.583    nan
116    239.312    nan
117    242.042    nan
118    244.766    nan
119    247.49    nan
120    250.21    nan
121    252.927    nan
122    255.642    nan
123    258.35    nan
124    261.051    nan
125    263.751    nan
126    266.445    nan
127    269.141    nan
128    271.826    nan
129    274.504    nan
130    277.177    nan
131    279.844    nan
132    282.507    nan
133    285.165    nan
134    287.82    nan
135    290.467    nan
136    293.115    nan
137    295.76    nan
138    298.399    nan
139    301.035    nan
140    303.664    nan
141    306.291    nan
142    308.913    nan
143    311.531    nan
144    314.153    nan
145    316.77    nan
146    319.381    nan
147    321.993    nan
148    324.598    nan
149    327.202    nan
150    329.801    nan
151    332.396    nan
152    334.985    nan
153    337.571    nan
154    340.155    nan
155    342.738    nan
156    345.319    nan
157    347.897    nan
158    350.477    nan
