# k    qy    S_u(qy)
1    0.0490874    1.66979
2    0.0981748    0.064743
3    0.147262    0.0803568
4    0.19635    0.0174531
5    0.245437    0.0254252
6    0.294524    0.00613744
7    0.343612    0.00635852
8    0.392699    0.00545245
9    0.441786    0.00177256
10    0.490874    0.00167706
11    0.539961    0.00537615
12    0.589049    0.0022978
13    0.638136    0.00204181
14    0.687223    0.00181511
15    0.736311    0.0024246
16    0.785398    0.0025874
17    0.834486    0.00304902
18    0.883573    0.0029499
19    0.93266    0.00102138
20    0.981748    0.00104887
21    1.03084    0.00555675
22    1.07992    0.0013147
23    1.12901    0.000954823
24    1.1781    0.00229138
25    1.22718    0.000734585
26    1.27627    0.00114674
27    1.32536    0.000953867
28    1.37445    0.000897377
29    1.42353    0.00132532
30    1.47262    0.00111646
31    1.52171    0.000747485
32    1.5708    0.000957093
33    1.61988    0.00100688
34    1.66897    0.000843632
35    1.71806    0.00121709
36    1.76715    0.000630184
37    1.81623    0.00110019
38    1.86532    0.000595494
39    1.91441    0.000679839
40    1.9635    0.000866351
41    2.01258    0.000851319
42    2.06167    0.000672215
43    2.11076    0.000614703
44    2.15984    0.000645944
45    2.20893    0.000755437
46    2.25802    0.000743376
47    2.30711    0.000448966
48    2.35619    0.000816284
49    2.40528    0.000464496
50    2.45437    0.000585259
51    2.50346    0.000596527
52    2.55254    0.000449005
53    2.60163    0.00091362
54    2.65072    0.000383288
55    2.69981    0.00075474
56    2.74889    0.000250688
57    2.79798    0.000635288
58    2.84707    0.00038107
59    2.89616    0.00094212
60    2.94524    0.000871585
61    2.99433    0.000719617
62    3.04342    0.000560942
63    3.09251    0.000371466
64    3.14159    0.000378586
