# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.179703    0.111632
2    0.402989    0.159416
3    0.719824    0.196047
4    1.145840    0.215551
5    1.676034    0.225291
6    2.310008    0.239575
7    3.053442    0.247910
8    3.882938    nan
9    4.806301    nan
10    5.820533    nan
11    6.921062    nan
12    8.097928    nan
13    9.351339    nan
14    10.686769    nan
15    12.096621    nan
16    13.564448    nan
17    15.098752    nan
18    16.679122    nan
19    18.319437    nan
20    20.007867    nan
21    21.740997    nan
22    23.525519    nan
23    25.347238    nan
24    27.200859    nan
25    29.095494    nan
26    31.016244    nan
27    32.956097    nan
28    34.912135    nan
29    36.890413    nan
30    38.877521    nan
31    40.866136    nan
32    42.849510    nan
33    44.831141    nan
34    46.801511    nan
35    48.760314    nan
36    50.705926    nan
37    52.618242    nan
38    54.492602    nan
39    56.350216    nan
40    58.155170    nan
41    59.921676    nan
42    61.645528    nan
43    63.329126    nan
44    64.969466    nan
45    66.545543    nan
46    68.067287    nan
47    69.536548    nan
48    70.943257    nan
49    72.277337    nan
50    73.543238    nan
51    74.726978    nan
52    75.844403    nan
53    76.881930    nan
54    77.845812    nan
55    78.724257    nan
56    79.517901    nan
57    80.227630    nan
58    80.845351    nan
59    81.374239    nan
60    81.809049    nan
61    82.141337    nan
62    82.394668    nan
63    82.546312    nan
