# k    qy    S_u(qy)
1    0.0245437    2.65945
2    0.0490874    3.80774
3    0.0736311    0.403516
4    0.0981748    0.111987
5    0.122718    0.0428485
6    0.147262    0.00605629
7    0.171806    0.0118349
8    0.19635    0.0157763
9    0.220893    0.00145545
10    0.245437    0.00225269
11    0.269981    0.00427984
12    0.294524    0.00512235
13    0.319068    0.00417042
14    0.343612    0.00220622
15    0.368155    0.00299726
16    0.392699    0.00246242
17    0.417243    0.00119582
18    0.441786    0.00132454
19    0.46633    0.00507336
20    0.490874    0.00210554
21    0.515418    0.0017126
22    0.539961    0.00248139
23    0.564505    0.00200959
24    0.589049    0.00140192
25    0.613592    0.000854827
26    0.638136    0.002206
27    0.66268    0.000759272
28    0.687223    0.00162157
29    0.711767    0.000854003
30    0.736311    0.00149823
31    0.760854    0.00121788
32    0.785398    0.00125532
33    0.809942    0.000768278
34    0.834486    0.00116642
35    0.859029    0.00125574
36    0.883573    0.000843582
37    0.908117    0.00109098
38    0.93266    0.00141699
39    0.957204    0.000783355
40    0.981748    0.00114254
41    1.00629    0.000612592
42    1.03084    0.000674476
43    1.05538    0.000768301
44    1.07992    0.000694776
45    1.10447    0.000726205
46    1.12901    0.000983273
47    1.15355    0.000368225
48    1.1781    0.000664174
49    1.20264    0.000807744
50    1.22718    0.0010997
51    1.25173    0.000674434
52    1.27627    0.000742384
53    1.30082    0.000573361
54    1.32536    0.000489347
55    1.3499    0.000692682
56    1.37445    0.000553977
57    1.39899    0.00044311
58    1.42353    0.000485717
59    1.44808    0.000546233
60    1.47262    0.000438996
61    1.49717    0.000459209
62    1.52171    0.000394045
63    1.54625    0.000581652
64    1.5708    0.000290946
65    1.59534    0.00058553
66    1.61988    0.00036154
67    1.64443    0.000261136
68    1.66897    0.000294739
69    1.69351    0.00049769
70    1.71806    0.000403854
71    1.7426    0.000186748
72    1.76715    0.00027538
73    1.79169    0.000658252
74    1.81623    0.000352563
75    1.84078    0.00101493
76    1.86532    0.000314174
77    1.88986    0.000363645
78    1.91441    0.000675749
79    1.93895    0.000670303
80    1.9635    0.000251629
81    1.98804    0.000374574
82    2.01258    0.00041913
83    2.03713    0.00029854
84    2.06167    0.00019978
85    2.08621    0.000545141
86    2.11076    0.000246383
87    2.1353    0.000401592
88    2.15984    0.000333452
89    2.18439    0.000315437
90    2.20893    0.00041523
91    2.23348    0.000392839
92    2.25802    0.000343242
93    2.28256    0.000326494
94    2.30711    0.000500463
95    2.33165    0.000727895
96    2.35619    0.000353501
97    2.38074    0.000335656
98    2.40528    0.000252323
99    2.42983    0.000164223
100    2.45437    0.000390042
101    2.47891    0.000291423
102    2.50346    0.000320159
103    2.528    0.000324011
104    2.55254    0.000268383
105    2.57709    0.000432538
106    2.60163    0.00030367
107    2.62618    0.000342268
108    2.65072    0.000441189
109    2.67526    0.0003879
110    2.69981    0.000369312
111    2.72435    0.00034445
112    2.74889    0.000300865
113    2.77344    0.00030266
114    2.79798    0.000464604
115    2.82252    0.000298305
116    2.84707    0.000353298
117    2.87161    0.000313433
118    2.89616    0.000326543
119    2.9207    0.000389486
120    2.94524    0.000293418
121    2.96979    0.000554299
122    2.99433    0.000423983
123    3.01887    0.000305936
124    3.04342    0.000202267
125    3.06796    0.000198217
126    3.09251    0.000350318
127    3.11705    0.000192569
128    3.14159    0.00027519
