# k    qy    S_u(qy)
1    0.0490874    0.400327
2    0.0981748    0.0316901
3    0.147262    0.0249075
4    0.19635    0.00266107
5    0.245437    0.00326229
6    0.294524    0.00205923
7    0.343612    0.00168757
8    0.392699    0.00334001
9    0.441786    0.000643599
10    0.490874    0.000645583
11    0.539961    0.00231368
12    0.589049    0.000586219
13    0.638136    0.000864043
14    0.687223    0.000537673
15    0.736311    0.00066931
16    0.785398    0.000490783
17    0.834486    0.000827863
18    0.883573    0.000667842
19    0.93266    0.00052564
20    0.981748    0.000329385
21    1.03084    0.000703007
22    1.07992    0.000480935
23    1.12901    0.000390967
24    1.1781    0.000504498
25    1.22718    0.000408533
26    1.27627    0.000598864
27    1.32536    0.000151215
28    1.37445    0.000271428
29    1.42353    0.000267474
30    1.47262    0.000324781
31    1.52171    0.000263157
32    1.5708    0.000334243
33    1.61988    0.00020637
34    1.66897    0.0002438
35    1.71806    0.000298787
36    1.76715    0.000220001
37    1.81623    0.00028748
38    1.86532    0.000282095
39    1.91441    0.000230829
40    1.9635    0.000164117
41    2.01258    0.000349532
42    2.06167    0.000199065
43    2.11076    0.00040286
44    2.15984    0.000153265
45    2.20893    0.000176966
46    2.25802    0.000156756
47    2.30711    0.000118121
48    2.35619    0.000131518
49    2.40528    0.000207057
50    2.45437    0.000203903
51    2.50346    0.000193166
52    2.55254    0.000180609
53    2.60163    0.000220281
54    2.65072    0.000152248
55    2.69981    0.000150646
56    2.74889    0.000147264
57    2.79798    0.000238272
58    2.84707    0.000141334
59    2.89616    0.000140503
60    2.94524    0.000167747
61    2.99433    0.000169001
62    3.04342    0.00012404
63    3.09251    0.000217132
64    3.14159    0.00018562
