# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.385956    0.249289
2    0.594425    0.411454
3    0.747450    0.507606
4    0.864479    0.551757
5    0.967877    0.576648
6    1.072394    0.602051
7    1.191712    0.615142
8    1.342886    nan
9    1.493476    nan
10    1.636178    nan
11    1.752886    nan
12    1.885090    nan
13    2.015073    nan
14    2.165544    nan
15    2.298488    nan
16    2.438725    nan
17    2.537246    nan
18    2.656061    nan
19    2.741272    nan
20    2.849912    nan
21    2.918939    nan
22    2.990583    nan
23    3.073624    nan
24    3.162554    nan
25    3.271287    nan
26    3.376028    nan
27    3.469192    nan
28    3.516386    nan
29    3.531935    nan
30    3.521888    nan
31    3.513542    nan
32    3.533804    nan
33    3.544504    nan
34    3.508024    nan
35    3.451835    nan
36    3.403477    nan
37    3.376476    nan
38    3.372298    nan
39    3.372543    nan
40    3.341396    nan
41    3.273926    nan
42    3.196120    nan
43    3.126104    nan
44    3.113834    nan
45    3.139880    nan
46    3.164363    nan
47    3.141635    nan
48    3.110812    nan
49    3.119517    nan
50    3.158046    nan
51    3.176822    nan
52    3.198216    nan
53    3.185015    nan
54    3.176659    nan
55    3.191495    nan
56    3.207833    nan
57    3.260043    nan
58    3.235850    nan
59    3.255829    nan
60    3.268888    nan
61    3.280279    nan
62    3.315625    nan
63    3.322068    nan
