# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.366073    0.234875
2    0.614720    0.370874
3    0.868646    0.453207
4    1.125120    0.522963
5    1.422914    0.573268
6    1.762708    0.602549
7    2.158188    0.617320
8    2.593791    nan
9    3.037411    nan
10    3.540113    nan
11    4.072614    nan
12    4.667669    nan
13    5.303057    nan
14    5.980143    nan
15    6.699419    nan
16    7.432097    nan
17    8.184504    nan
18    8.963666    nan
19    9.785365    nan
20    10.636224    nan
21    11.509678    nan
22    12.413926    nan
23    13.342740    nan
24    14.297682    nan
25    15.274026    nan
26    16.268683    nan
27    17.268978    nan
28    18.275956    nan
29    19.303344    nan
30    20.358984    nan
31    21.442609    nan
32    22.541697    nan
33    23.663265    nan
34    24.789504    nan
35    25.941437    nan
36    27.110008    nan
37    28.284584    nan
38    29.470423    nan
39    30.663368    nan
40    31.875868    nan
41    33.082932    nan
42    34.308022    nan
43    35.524036    nan
44    36.736186    nan
45    37.949730    nan
46    39.151792    nan
47    40.339269    nan
48    41.523304    nan
49    42.718724    nan
50    43.863058    nan
51    45.040551    nan
52    46.200102    nan
53    47.337510    nan
54    48.503860    nan
55    49.635169    nan
56    50.759101    nan
57    51.865713    nan
58    52.960990    nan
59    54.044328    nan
60    55.117252    nan
61    56.169708    nan
62    57.217071    nan
63    58.276526    nan
64    59.337372    nan
65    60.388003    nan
66    61.439313    nan
67    62.494305    nan
68    63.540023    nan
69    64.573950    nan
70    65.613508    nan
71    66.645352    nan
72    67.644101    nan
73    68.636549    nan
74    69.604334    nan
75    70.542393    nan
76    71.472021    nan
77    72.400070    nan
78    73.317317    nan
79    74.229283    nan
80    75.126724    nan
81    75.998403    nan
82    76.852589    nan
83    77.686279    nan
84    78.496148    nan
85    79.294751    nan
86    80.062573    nan
87    80.792759    nan
88    81.493028    nan
89    82.185977    nan
90    82.863705    nan
91    83.559214    nan
92    84.199056    nan
93    84.826677    nan
94    85.429792    nan
95    86.013757    nan
96    86.584715    nan
97    87.114434    nan
98    87.622829    nan
99    88.115745    nan
100    88.609178    nan
101    89.078450    nan
102    89.557680    nan
103    90.009620    nan
104    90.434405    nan
105    90.846093    nan
106    91.240219    nan
107    91.603853    nan
108    91.941511    nan
109    92.272794    nan
110    92.579083    nan
111    92.859251    nan
112    93.119017    nan
113    93.347223    nan
114    93.553160    nan
115    93.743975    nan
116    93.897773    nan
117    94.055132    nan
118    94.192786    nan
119    94.322930    nan
120    94.439980    nan
121    94.525122    nan
122    94.616174    nan
123    94.680506    nan
124    94.717668    nan
125    94.738904    nan
126    94.751449    nan
127    94.738991    nan
