# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.443796    0.262300
2    0.695324    0.423016
3    0.916530    0.553044
4    1.100970    0.626465
5    1.292933    0.679426
6    1.458511    0.717309
7    1.625473    0.734446
8    1.785948    nan
9    1.950076    nan
10    2.133522    nan
11    2.302653    nan
12    2.452583    nan
13    2.621034    nan
14    2.767265    nan
15    2.930919    nan
16    3.054139    nan
17    3.163804    nan
18    3.275840    nan
19    3.336125    nan
20    3.392502    nan
21    3.383986    nan
22    3.363925    nan
23    3.351956    nan
24    3.318792    nan
25    3.280265    nan
26    3.260927    nan
27    3.232803    nan
28    3.205259    nan
29    3.249654    nan
30    3.306161    nan
31    3.407528    nan
32    3.503976    nan
33    3.594484    nan
34    3.660397    nan
35    3.745847    nan
36    3.867500    nan
37    4.048807    nan
38    4.226610    nan
39    4.414580    nan
40    4.567250    nan
41    4.709492    nan
42    4.850102    nan
43    5.005245    nan
44    5.145589    nan
45    5.280788    nan
46    5.388705    nan
47    5.440882    nan
48    5.461114    nan
49    5.472524    nan
50    5.450384    nan
51    5.413473    nan
52    5.331887    nan
53    5.258401    nan
54    5.193144    nan
55    5.114558    nan
56    5.035996    nan
57    4.934100    nan
58    4.859039    nan
59    4.770666    nan
60    4.696982    nan
61    4.587032    nan
62    4.476137    nan
63    4.380301    nan
