# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.440487    0.264930
2    0.707143    0.416882
3    0.977352    0.521667
4    1.250542    0.592241
5    1.526520    0.646752
6    1.856836    0.672547
7    2.228972    0.680252
8    2.619830    nan
9    3.047504    nan
10    3.525350    nan
11    3.986730    nan
12    4.483212    nan
13    5.011902    nan
14    5.556894    nan
15    6.141764    nan
16    6.729133    nan
17    7.332257    nan
18    7.955318    nan
19    8.551770    nan
20    9.128545    nan
21    9.716826    nan
22    10.343793    nan
23    10.949462    nan
24    11.551741    nan
25    12.144620    nan
26    12.756086    nan
27    13.377311    nan
28    13.988491    nan
29    14.630435    nan
30    15.227177    nan
31    15.817068    nan
32    16.393304    nan
33    16.962218    nan
34    17.543520    nan
35    18.135465    nan
36    18.694046    nan
37    19.225766    nan
38    19.764849    nan
39    20.278475    nan
40    20.769569    nan
41    21.237689    nan
42    21.720822    nan
43    22.214111    nan
44    22.679008    nan
45    23.158200    nan
46    23.640206    nan
47    24.130967    nan
48    24.648611    nan
49    25.156396    nan
50    25.668206    nan
51    26.163970    nan
52    26.651388    nan
53    27.151909    nan
54    27.665566    nan
55    28.179256    nan
56    28.706423    nan
57    29.225643    nan
58    29.753528    nan
59    30.293335    nan
60    30.819288    nan
61    31.353836    nan
62    31.845287    nan
63    32.348034    nan
64    32.850964    nan
65    33.308099    nan
66    33.746203    nan
67    34.163629    nan
68    34.581618    nan
69    35.015975    nan
70    35.429965    nan
71    35.825039    nan
72    36.185937    nan
73    36.545472    nan
74    36.899525    nan
75    37.241730    nan
76    37.546624    nan
77    37.837772    nan
78    38.124650    nan
79    38.408371    nan
80    38.664469    nan
81    38.897361    nan
82    39.124953    nan
83    39.325146    nan
84    39.536699    nan
85    39.732784    nan
86    39.941256    nan
87    40.116427    nan
88    40.296653    nan
89    40.465580    nan
90    40.623623    nan
91    40.764825    nan
92    40.899562    nan
93    41.041043    nan
94    41.200088    nan
95    41.358156    nan
96    41.524028    nan
97    41.679702    nan
98    41.843621    nan
99    41.997992    nan
100    42.152211    nan
101    42.300041    nan
102    42.460435    nan
103    42.624541    nan
104    42.786542    nan
105    42.961708    nan
106    43.180867    nan
107    43.377606    nan
108    43.574979    nan
109    43.769774    nan
110    43.982820    nan
111    44.215450    nan
112    44.430226    nan
113    44.636408    nan
114    44.822837    nan
115    45.023224    nan
116    45.205553    nan
117    45.370892    nan
118    45.536799    nan
119    45.685094    nan
120    45.822873    nan
121    45.962774    nan
122    46.090954    nan
123    46.214433    nan
124    46.309876    nan
125    46.367765    nan
126    46.421464    nan
127    46.472256    nan
