# k    qy    S_u(qy)
1    0.0245437    1.67893
2    0.0490874    0.209438
3    0.0736311    0.216639
4    0.0981748    0.117373
5    0.122718    0.0102471
6    0.147262    0.0866449
7    0.171806    0.00579306
8    0.19635    0.00652103
9    0.220893    0.0269199
10    0.245437    0.00247492
11    0.269981    0.0043482
12    0.294524    0.0214848
13    0.319068    0.00140029
14    0.343612    0.00121469
15    0.368155    0.00194239
16    0.392699    0.00618276
17    0.417243    0.00333498
18    0.441786    0.00368038
19    0.46633    0.0026793
20    0.490874    0.00139668
21    0.515418    0.0055452
22    0.539961    0.00344117
23    0.564505    0.00191983
24    0.589049    0.00526745
25    0.613592    0.00108375
26    0.638136    0.00350261
27    0.66268    0.00207873
28    0.687223    0.00271637
29    0.711767    0.00232327
30    0.736311    0.00101544
31    0.760854    0.00170827
32    0.785398    0.00277388
33    0.809942    0.00357876
34    0.834486    0.00150783
35    0.859029    0.001597
36    0.883573    0.00155012
37    0.908117    0.00132739
38    0.93266    0.00362863
39    0.957204    0.00153527
40    0.981748    0.00271877
41    1.00629    0.000952441
42    1.03084    0.00174578
43    1.05538    0.00391053
44    1.07992    0.00149468
45    1.10447    0.00124721
46    1.12901    0.00248753
47    1.15355    0.00157003
48    1.1781    0.0011896
49    1.20264    0.000801761
50    1.22718    0.000909047
51    1.25173    0.000885279
52    1.27627    0.000971972
53    1.30082    0.000737814
54    1.32536    0.00137182
55    1.3499    0.00130749
56    1.37445    0.000560653
57    1.39899    0.00127434
58    1.42353    0.00109526
59    1.44808    0.000548639
60    1.47262    0.00107457
61    1.49717    0.00124969
62    1.52171    0.00112965
63    1.54625    0.00060908
64    1.5708    0.000972606
65    1.59534    0.00076231
66    1.61988    0.000981065
67    1.64443    0.000822586
68    1.66897    0.000874778
69    1.69351    0.00094958
70    1.71806    0.000639811
71    1.7426    0.000707753
72    1.76715    0.00165524
73    1.79169    0.000831145
74    1.81623    0.00100346
75    1.84078    0.00060241
76    1.86532    0.00110693
77    1.88986    0.00105162
78    1.91441    0.00082404
79    1.93895    0.00107218
80    1.9635    0.000652533
81    1.98804    0.000596328
82    2.01258    0.00081861
83    2.03713    0.000452821
84    2.06167    0.00102423
85    2.08621    0.000694937
86    2.11076    0.000839058
87    2.1353    0.000654134
88    2.15984    0.00065241
89    2.18439    0.000623595
90    2.20893    0.000703931
91    2.23348    0.000731697
92    2.25802    0.00051896
93    2.28256    0.000778271
94    2.30711    0.000754081
95    2.33165    0.000681451
96    2.35619    0.000553576
97    2.38074    0.000488021
98    2.40528    0.000552389
99    2.42983    0.000466777
100    2.45437    0.00046833
101    2.47891    0.000725596
102    2.50346    0.000650672
103    2.528    0.000296116
104    2.55254    0.00050621
105    2.57709    0.00102256
106    2.60163    0.000957852
107    2.62618    0.000643896
108    2.65072    0.000581882
109    2.67526    0.000550667
110    2.69981    0.00101325
111    2.72435    0.00038044
112    2.74889    0.000498195
113    2.77344    0.000663727
114    2.79798    0.000739469
115    2.82252    0.000447167
116    2.84707    0.000630453
117    2.87161    0.000781557
118    2.89616    0.000513546
119    2.9207    0.000605887
120    2.94524    0.000552237
121    2.96979    0.000632109
122    2.99433    0.000672467
123    3.01887    0.000614644
124    3.04342    0.000705075
125    3.06796    0.000463409
126    3.09251    0.000635373
127    3.11705    0.000856871
128    3.14159    0.000751087
