# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.460680    0.254952
2    0.706050    0.426171
3    0.921573    0.535892
4    1.099526    0.609339
5    1.281342    0.654985
6    1.441985    0.664876
7    1.605269    0.702271
8    1.806255    nan
9    2.000069    nan
10    2.205301    nan
11    2.404632    nan
12    2.621242    nan
13    2.855518    nan
14    3.061250    nan
15    3.238141    nan
16    3.411467    nan
17    3.501581    nan
18    3.575702    nan
19    3.601737    nan
20    3.611727    nan
21    3.615780    nan
22    3.585495    nan
23    3.545988    nan
24    3.493413    nan
25    3.437813    nan
26    3.337816    nan
27    3.225873    nan
28    3.066284    nan
29    2.910976    nan
30    2.720715    nan
31    2.574751    nan
32    2.442504    nan
33    2.301432    nan
34    2.157392    nan
35    2.037571    nan
36    1.903508    nan
37    1.808896    nan
38    1.751093    nan
39    1.721473    nan
40    1.719526    nan
41    1.726806    nan
42    1.713214    nan
43    1.744921    nan
44    1.782460    nan
45    1.865901    nan
46    1.970095    nan
47    2.052202    nan
48    2.182391    nan
49    2.331323    nan
50    2.490120    nan
51    2.622632    nan
52    2.794130    nan
53    2.939683    nan
54    3.078450    nan
55    3.221104    nan
56    3.347662    nan
57    3.479119    nan
58    3.599019    nan
59    3.718273    nan
60    3.832747    nan
61    3.933956    nan
62    4.027267    nan
63    4.067603    nan
