# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.077113    0.064260
2    0.150026    0.091828
3    0.236303    0.113852
4    0.344626    0.123744
5    0.474489    0.131573
6    0.622608    0.137545
7    0.792633    0.139902
8    0.984530    nan
9    1.189454    nan
10    1.410683    nan
11    1.649017    nan
12    1.896181    nan
13    2.159795    nan
14    2.431370    nan
15    2.709799    nan
16    3.001057    nan
17    3.296116    nan
18    3.590657    nan
19    3.889065    nan
20    4.180371    nan
21    4.472622    nan
22    4.764587    nan
23    5.054449    nan
24    5.335850    nan
25    5.615439    nan
26    5.887915    nan
27    6.147372    nan
28    6.393588    nan
29    6.626743    nan
30    6.852788    nan
31    7.070168    nan
32    7.277282    nan
33    7.470893    nan
34    7.650066    nan
35    7.821379    nan
36    7.981213    nan
37    8.138541    nan
38    8.284665    nan
39    8.422190    nan
40    8.552235    nan
41    8.674384    nan
42    8.787585    nan
43    8.887640    nan
44    8.976687    nan
45    9.062505    nan
46    9.145727    nan
47    9.216882    nan
48    9.283332    nan
49    9.343507    nan
50    9.398910    nan
51    9.449918    nan
52    9.496819    nan
53    9.534836    nan
54    9.572411    nan
55    9.607057    nan
56    9.635046    nan
57    9.659330    nan
58    9.673723    nan
59    9.678601    nan
60    9.687884    nan
61    9.701140    nan
62    9.707173    nan
63    9.708718    nan
