# k    qy    S_u(qy)
1    0.0490874    0.780326
2    0.0981748    0.200451
3    0.147262    0.0362697
4    0.19635    0.0344969
5    0.245437    0.0689244
6    0.294524    0.00836358
7    0.343612    0.00290489
8    0.392699    0.00156992
9    0.441786    0.00441216
10    0.490874    0.00578347
11    0.539961    0.00304903
12    0.589049    0.00209428
13    0.638136    0.000844078
14    0.687223    0.00142914
15    0.736311    0.000995922
16    0.785398    0.000489079
17    0.834486    0.00101603
18    0.883573    0.000930645
19    0.93266    0.00143577
20    0.981748    0.00064662
21    1.03084    0.000771849
22    1.07992    0.000993412
23    1.12901    0.000670542
24    1.1781    0.000494829
25    1.22718    0.000720954
26    1.27627    0.00051201
27    1.32536    0.00106781
28    1.37445    0.000783081
29    1.42353    0.000526869
30    1.47262    0.000794551
31    1.52171    0.000646671
32    1.5708    0.000451774
33    1.61988    0.000453592
34    1.66897    0.000422659
35    1.71806    0.000209568
36    1.76715    0.000609537
37    1.81623    0.000553052
38    1.86532    0.000462671
39    1.91441    0.000290555
40    1.9635    0.000598837
41    2.01258    0.00048942
42    2.06167    0.000601161
43    2.11076    0.000313199
44    2.15984    0.000598018
45    2.20893    0.000311422
46    2.25802    0.000375246
47    2.30711    0.000423832
48    2.35619    0.000698189
49    2.40528    0.000248181
50    2.45437    0.000523791
51    2.50346    0.000338333
52    2.55254    0.000261323
53    2.60163    0.000226104
54    2.65072    0.000423049
55    2.69981    0.000368273
56    2.74889    0.000305379
57    2.79798    0.000371067
58    2.84707    0.000412803
59    2.89616    0.000193811
60    2.94524    0.000418544
61    2.99433    0.000287225
62    3.04342    0.000267799
63    3.09251    0.000441832
64    3.14159    0.000438004
