# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.437098    0.263337
2    0.652075    0.439855
3    0.836424    0.552323
4    1.007235    0.615356
5    1.171737    0.673753
6    1.297724    0.711730
7    1.415845    0.734338
8    1.542810    nan
9    1.661564    nan
10    1.752945    nan
11    1.850354    nan
12    1.883731    nan
13    1.941653    nan
14    2.025614    nan
15    2.103204    nan
16    2.198197    nan
17    2.315735    nan
18    2.439527    nan
19    2.579571    nan
20    2.687431    nan
21    2.802039    nan
22    2.889026    nan
23    2.952928    nan
24    3.034021    nan
25    3.110040    nan
26    3.155338    nan
27    3.182333    nan
28    3.228735    nan
29    3.266572    nan
30    3.310187    nan
31    3.370498    nan
32    3.443154    nan
33    3.476743    nan
34    3.507189    nan
35    3.544069    nan
36    3.569500    nan
37    3.544282    nan
38    3.554290    nan
39    3.563792    nan
40    3.562945    nan
41    3.544177    nan
42    3.579620    nan
43    3.597742    nan
44    3.620865    nan
45    3.619370    nan
46    3.609104    nan
47    3.624625    nan
48    3.595629    nan
49    3.572270    nan
50    3.544396    nan
51    3.498942    nan
52    3.487598    nan
53    3.436725    nan
54    3.381303    nan
55    3.338685    nan
56    3.306910    nan
57    3.285346    nan
58    3.278626    nan
59    3.282433    nan
60    3.269708    nan
61    3.296485    nan
62    3.323955    nan
63    3.328464    nan
