# k    qy    S_u(qy)
1    0.0245437    3.2623
2    0.0490874    0.922787
3    0.0736311    0.0986354
4    0.0981748    0.139234
5    0.122718    0.0932232
6    0.147262    0.00559519
7    0.171806    0.0295498
8    0.19635    0.0332496
9    0.220893    0.0105691
10    0.245437    0.00587908
11    0.269981    0.00992918
12    0.294524    0.00250563
13    0.319068    0.002793
14    0.343612    0.00086103
15    0.368155    0.00239679
16    0.392699    0.00367871
17    0.417243    0.00541895
18    0.441786    0.0094142
19    0.46633    0.00443708
20    0.490874    0.000967878
21    0.515418    0.00229265
22    0.539961    0.00176748
23    0.564505    0.00225484
24    0.589049    0.0031809
25    0.613592    0.00135589
26    0.638136    0.00330188
27    0.66268    0.00272975
28    0.687223    0.00225561
29    0.711767    0.00200848
30    0.736311    0.000915016
31    0.760854    0.00188794
32    0.785398    0.0013551
33    0.809942    0.00126929
34    0.834486    0.00150699
35    0.859029    0.00151176
36    0.883573    0.00178067
37    0.908117    0.000806661
38    0.93266    0.000645385
39    0.957204    0.000723951
40    0.981748    0.000927159
41    1.00629    0.000669475
42    1.03084    0.000661578
43    1.05538    0.00103901
44    1.07992    0.00134605
45    1.10447    0.000561804
46    1.12901    0.000704945
47    1.15355    0.000853905
48    1.1781    0.0014739
49    1.20264    0.00093812
50    1.22718    0.000740033
51    1.25173    0.000841944
52    1.27627    0.000827497
53    1.30082    0.000604057
54    1.32536    0.00106902
55    1.3499    0.000708293
56    1.37445    0.000963293
57    1.39899    0.00063854
58    1.42353    0.000931557
59    1.44808    0.00054
60    1.47262    0.000804519
61    1.49717    0.000827445
62    1.52171    0.00116796
63    1.54625    0.00134896
64    1.5708    0.000590915
65    1.59534    0.000630471
66    1.61988    0.000533457
67    1.64443    0.000471601
68    1.66897    0.000400581
69    1.69351    0.000538604
70    1.71806    0.000569718
71    1.7426    0.000895026
72    1.76715    0.000531024
73    1.79169    0.000309174
74    1.81623    0.000671552
75    1.84078    0.000654151
76    1.86532    0.000326158
77    1.88986    0.000542493
78    1.91441    0.000924806
79    1.93895    0.000654113
80    1.9635    0.000416163
81    1.98804    0.000743063
82    2.01258    0.000575185
83    2.03713    0.000766422
84    2.06167    0.00075104
85    2.08621    0.000568916
86    2.11076    0.000449273
87    2.1353    0.000436623
88    2.15984    0.000502744
89    2.18439    0.000561669
90    2.20893    0.000667569
91    2.23348    0.000391374
92    2.25802    0.000935196
93    2.28256    0.000565301
94    2.30711    0.000728133
95    2.33165    0.000889362
96    2.35619    0.00036629
97    2.38074    0.000578131
98    2.40528    0.000667835
99    2.42983    0.000684177
100    2.45437    0.000457627
101    2.47891    0.000432451
102    2.50346    0.000595701
103    2.528    0.000512906
104    2.55254    0.000414291
105    2.57709    0.000496485
106    2.60163    0.0004875
107    2.62618    0.000391764
108    2.65072    0.000603951
109    2.67526    0.000441657
110    2.69981    0.000497958
111    2.72435    0.000563913
112    2.74889    0.000334514
113    2.77344    0.00046605
114    2.79798    0.000501701
115    2.82252    0.00049506
116    2.84707    0.000265553
117    2.87161    0.000398827
118    2.89616    0.000435535
119    2.9207    0.00030628
120    2.94524    0.000473299
121    2.96979    0.000658622
122    2.99433    0.00056799
123    3.01887    0.000371633
124    3.04342    0.000393991
125    3.06796    0.000559879
126    3.09251    0.000614218
127    3.11705    0.000333004
128    3.14159    0.00084297
