# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.237421    0.169907
2    0.403253    0.259976
3    0.582148    0.309081
4    0.797012    0.346780
5    1.041976    0.369115
6    1.320728    0.375580
7    1.632135    0.381330
8    1.955465    nan
9    2.317840    nan
10    2.716819    nan
11    3.156996    nan
12    3.626208    nan
13    4.125564    nan
14    4.648243    nan
15    5.189680    nan
16    5.739288    nan
17    6.317264    nan
18    6.913236    nan
19    7.520052    nan
20    8.136990    nan
21    8.759071    nan
22    9.393212    nan
23    10.036690    nan
24    10.677562    nan
25    11.313771    nan
26    11.957807    nan
27    12.589128    nan
28    13.217288    nan
29    13.858528    nan
30    14.507523    nan
31    15.164417    nan
32    15.825921    nan
33    16.490651    nan
34    17.156766    nan
35    17.812428    nan
36    18.449757    nan
37    19.095297    nan
38    19.740602    nan
39    20.380397    nan
40    21.005893    nan
41    21.638556    nan
42    22.264661    nan
43    22.890557    nan
44    23.510057    nan
45    24.121201    nan
46    24.722320    nan
47    25.315237    nan
48    25.903432    nan
49    26.475782    nan
50    27.041847    nan
51    27.584330    nan
52    28.105786    nan
53    28.616355    nan
54    29.119533    nan
55    29.609460    nan
56    30.092490    nan
57    30.557344    nan
58    31.015222    nan
59    31.471704    nan
60    31.927920    nan
61    32.367473    nan
62    32.799438    nan
63    33.227361    nan
64    33.651815    nan
65    34.063970    nan
66    34.498296    nan
67    34.933838    nan
68    35.360180    nan
69    35.782636    nan
70    36.211519    nan
71    36.643850    nan
72    37.060352    nan
73    37.487167    nan
74    37.912338    nan
75    38.332728    nan
76    38.757613    nan
77    39.197975    nan
78    39.621353    nan
79    40.053209    nan
80    40.473733    nan
81    40.885194    nan
82    41.283014    nan
83    41.670358    nan
84    42.055061    nan
85    42.416901    nan
86    42.768714    nan
87    43.114233    nan
88    43.431629    nan
89    43.729624    nan
90    44.015932    nan
91    44.281933    nan
92    44.516290    nan
93    44.728245    nan
94    44.909854    nan
95    45.075140    nan
96    45.219676    nan
97    45.342467    nan
98    45.451107    nan
99    45.549352    nan
100    45.622046    nan
101    45.689024    nan
102    45.735907    nan
103    45.769903    nan
104    45.783520    nan
105    45.790347    nan
106    45.787877    nan
107    45.790860    nan
108    45.788861    nan
109    45.795568    nan
110    45.793052    nan
111    45.787037    nan
112    45.784983    nan
113    45.774732    nan
114    45.756894    nan
115    45.751655    nan
116    45.739380    nan
117    45.738393    nan
118    45.738690    nan
119    45.750083    nan
120    45.770751    nan
121    45.795519    nan
122    45.812381    nan
123    45.836486    nan
124    45.860798    nan
125    45.879478    nan
126    45.882567    nan
127    45.885916    nan
