# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.047134    0.005052
2    0.172414    0.007257
3    0.375069    0.008510
4    0.652596    0.009398
5    1.003001    0.009985
6    1.424428    0.010411
7    1.913482    0.010546
8    2.466390    nan
9    3.080257    nan
10    3.751914    nan
11    4.478477    nan
12    5.256177    nan
13    6.081672    nan
14    6.950802    nan
15    7.861641    nan
16    8.810641    nan
17    9.794211    nan
18    10.809193    nan
19    11.851229    nan
20    12.917863    nan
21    14.005298    nan
22    15.109795    nan
23    16.229024    nan
24    17.360503    nan
25    18.502360    nan
26    19.651649    nan
27    20.805426    nan
28    21.960404    nan
29    23.114415    nan
30    24.265410    nan
31    25.410726    nan
32    26.548082    nan
33    27.674696    nan
34    28.789354    nan
35    29.890907    nan
36    30.977121    nan
37    32.047078    nan
38    33.098257    nan
39    34.129730    nan
40    35.139637    nan
41    36.127313    nan
42    37.091604    nan
43    38.030796    nan
44    38.944271    nan
45    39.832032    nan
46    40.693432    nan
47    41.528265    nan
48    42.336483    nan
49    43.119395    nan
50    43.877430    nan
51    44.611970    nan
52    45.323651    nan
53    46.013259    nan
54    46.682919    nan
55    47.333819    nan
56    47.968494    nan
57    48.589133    nan
58    49.197331    nan
59    49.796000    nan
60    50.386959    nan
61    50.972996    nan
62    51.555872    nan
63    52.137316    nan
64    52.719311    nan
65    53.303761    nan
66    53.891487    nan
67    54.482945    nan
68    55.078695    nan
69    55.678862    nan
70    56.283933    nan
71    56.893270    nan
72    57.505439    nan
73    58.120179    nan
74    58.736889    nan
75    59.355637    nan
76    59.975581    nan
77    60.596170    nan
78    61.217079    nan
79    61.837721    nan
80    62.458839    nan
81    63.081002    nan
82    63.704525    nan
83    64.330031    nan
84    64.958755    nan
85    65.590980    nan
86    66.226689    nan
87    66.865874    nan
88    67.508058    nan
89    68.152846    nan
90    68.800386    nan
91    69.450309    nan
92    70.101678    nan
93    70.753813    nan
94    71.406098    nan
95    72.058117    nan
96    72.707843    nan
97    73.354257    nan
98    73.996244    nan
99    74.632865    nan
100    75.263554    nan
101    75.886944    nan
102    76.501678    nan
103    77.106114    nan
104    77.698567    nan
105    78.278072    nan
106    78.842205    nan
107    79.390332    nan
108    79.919968    nan
109    80.429966    nan
110    80.918301    nan
111    81.383403    nan
112    81.823074    nan
113    82.235778    nan
114    82.620034    nan
115    82.975241    nan
116    83.300596    nan
117    83.596327    nan
118    83.862873    nan
119    84.101270    nan
120    84.313220    nan
121    84.499229    nan
122    84.659648    nan
123    84.794490    nan
124    84.904657    nan
125    84.990735    nan
126    85.052605    nan
127    85.089969    nan
