# k    qy    S_u(qy)
1    0.0245437    10.9587
2    0.0490874    0.135446
3    0.0736311    0.028769
4    0.0981748    0.036471
5    0.122718    0.0241239
6    0.147262    0.0185201
7    0.171806    0.00567494
8    0.19635    0.0131908
9    0.220893    0.00863273
10    0.245437    0.00588225
11    0.269981    0.0118777
12    0.294524    0.00161793
13    0.319068    0.000558131
14    0.343612    0.000665174
15    0.368155    0.00141656
16    0.392699    0.00118688
17    0.417243    0.00121483
18    0.441786    0.000538425
19    0.46633    0.000814784
20    0.490874    0.000547678
21    0.515418    0.000926273
22    0.539961    0.00140222
23    0.564505    0.000900254
24    0.589049    0.00129841
25    0.613592    0.000511845
26    0.638136    0.000543888
27    0.66268    0.000755392
28    0.687223    0.000771735
29    0.711767    0.000756404
30    0.736311    0.00103053
31    0.760854    0.000657461
32    0.785398    0.000529871
33    0.809942    0.00079216
34    0.834486    0.000703125
35    0.859029    0.000695505
36    0.883573    0.000849236
37    0.908117    0.000441679
38    0.93266    0.000390743
39    0.957204    0.000721298
40    0.981748    0.000328479
41    1.00629    0.000519291
42    1.03084    0.00110655
43    1.05538    0.000862623
44    1.07992    0.000207139
45    1.10447    0.000455555
46    1.12901    0.00043092
47    1.15355    0.00038549
48    1.1781    0.000434711
49    1.20264    0.000253029
50    1.22718    0.000272956
51    1.25173    0.000370327
52    1.27627    0.000326196
53    1.30082    0.000414756
54    1.32536    0.000559221
55    1.3499    0.00024696
56    1.37445    0.00027998
57    1.39899    0.000629066
58    1.42353    0.000239515
59    1.44808    0.000372191
60    1.47262    0.000348735
61    1.49717    0.000232667
62    1.52171    0.000297539
63    1.54625    0.000227974
64    1.5708    0.00031833
65    1.59534    0.000189949
66    1.61988    0.000292203
67    1.64443    0.000259725
68    1.66897    0.000339949
69    1.69351    0.000321758
70    1.71806    0.000379706
71    1.7426    0.000169698
72    1.76715    0.000203303
73    1.79169    0.000223002
74    1.81623    0.000330865
75    1.84078    0.000244751
76    1.86532    0.000226439
77    1.88986    0.000245336
78    1.91441    0.000243389
79    1.93895    0.000165089
80    1.9635    0.000301395
81    1.98804    0.000252725
82    2.01258    0.000235448
83    2.03713    0.000103387
84    2.06167    0.000276989
85    2.08621    0.000258158
86    2.11076    0.000231421
87    2.1353    0.000196577
88    2.15984    0.00022553
89    2.18439    0.000197079
90    2.20893    0.000261629
91    2.23348    0.000108496
92    2.25802    0.000222701
93    2.28256    0.000219018
94    2.30711    0.00020878
95    2.33165    0.000189851
96    2.35619    0.00022393
97    2.38074    0.000132899
98    2.40528    0.000154592
99    2.42983    0.000115768
100    2.45437    0.000149047
101    2.47891    0.0001358
102    2.50346    0.000140313
103    2.528    0.000175773
104    2.55254    0.000130506
105    2.57709    0.000208082
106    2.60163    0.000244732
107    2.62618    0.000153746
108    2.65072    0.000143957
109    2.67526    0.00014719
110    2.69981    0.000257335
111    2.72435    0.000226174
112    2.74889    0.000179881
113    2.77344    0.000158736
114    2.79798    0.000237035
115    2.82252    0.00010017
116    2.84707    0.000149203
117    2.87161    0.000185119
118    2.89616    0.000257701
119    2.9207    0.000209358
120    2.94524    0.000221358
121    2.96979    0.000122512
122    2.99433    0.000191694
123    3.01887    0.000140383
124    3.04342    0.000267056
125    3.06796    0.000142851
126    3.09251    0.000137121
127    3.11705    0.000136332
128    3.14159    0.000119648
