# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.369937    0.244844
2    0.608684    0.391983
3    0.839112    0.506321
4    1.034154    0.595251
5    1.156923    0.661875
6    1.279304    0.708160
7    1.414515    0.724039
8    1.572770    nan
9    1.705655    nan
10    1.851834    nan
11    1.998052    nan
12    2.172827    nan
13    2.348894    nan
14    2.520682    nan
15    2.683935    nan
16    2.832390    nan
17    2.992328    nan
18    3.189635    nan
19    3.368934    nan
20    3.607213    nan
21    3.836704    nan
22    4.060748    nan
23    4.284273    nan
24    4.518570    nan
25    4.745976    nan
26    4.999377    nan
27    5.284959    nan
28    5.595562    nan
29    5.890311    nan
30    6.174570    nan
31    6.422470    nan
32    6.666072    nan
33    6.888544    nan
34    7.129422    nan
35    7.363098    nan
36    7.593786    nan
37    7.822335    nan
38    7.995337    nan
39    8.181681    nan
40    8.353132    nan
41    8.542544    nan
42    8.715423    nan
43    8.888131    nan
44    9.057150    nan
45    9.220910    nan
46    9.377915    nan
47    9.560221    nan
48    9.731176    nan
49    9.861957    nan
50    10.000926    nan
51    10.118390    nan
52    10.212922    nan
53    10.310944    nan
54    10.412122    nan
55    10.487125    nan
56    10.552923    nan
57    10.624465    nan
58    10.675066    nan
59    10.699151    nan
60    10.723863    nan
61    10.718014    nan
62    10.707574    nan
63    10.709415    nan
