# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.458232    0.262372
2    0.747674    0.423117
3    1.026441    0.553151
4    1.291278    0.626555
5    1.578979    0.679533
6    1.858332    0.717451
7    2.145858    0.734631
8    2.438871    nan
9    2.747353    nan
10    3.094764    nan
11    3.445977    nan
12    3.798809    nan
13    4.190370    nan
14    4.589280    nan
15    5.042620    nan
16    5.494929    nan
17    5.966371    nan
18    6.476198    nan
19    6.956493    nan
20    7.465950    nan
21    7.924281    nan
22    8.382885    nan
23    8.841838    nan
24    9.260501    nan
25    9.652959    nan
26    10.043307    nan
27    10.410096    nan
28    10.764842    nan
29    11.178640    nan
30    11.589224    nan
31    12.021097    nan
32    12.428144    nan
33    12.801725    nan
34    13.128289    nan
35    13.444528    nan
36    13.776414    nan
37    14.144381    nan
38    14.481843    nan
39    14.810880    nan
40    15.089228    nan
41    15.343694    nan
42    15.592144    nan
43    15.849523    nan
44    16.102383    nan
45    16.361572    nan
46    16.616138    nan
47    16.834939    nan
48    17.044530    nan
49    17.270609    nan
50    17.487437    nan
51    17.702513    nan
52    17.877905    nan
53    18.050023    nan
54    18.217258    nan
55    18.351495    nan
56    18.469855    nan
57    18.535514    nan
58    18.607868    nan
59    18.643285    nan
60    18.674607    nan
61    18.653600    nan
62    18.614800    nan
63    18.565109    nan
