# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.348513    0.216963
2    0.575225    0.337480
3    0.795178    0.419044
4    1.013719    0.483136
5    1.265324    0.512030
6    1.574505    0.542784
7    1.913859    0.569472
8    2.266313    nan
9    2.629038    nan
10    2.994934    nan
11    3.376047    nan
12    3.770039    nan
13    4.181156    nan
14    4.584043    nan
15    5.000811    nan
16    5.392917    nan
17    5.767410    nan
18    6.139423    nan
19    6.494049    nan
20    6.816733    nan
21    7.133844    nan
22    7.393586    nan
23    7.635991    nan
24    7.837630    nan
25    8.015779    nan
26    8.155770    nan
27    8.262406    nan
28    8.338589    nan
29    8.399414    nan
30    8.447012    nan
31    8.450220    nan
32    8.435626    nan
33    8.404142    nan
34    8.330013    nan
35    8.284445    nan
36    8.250912    nan
37    8.191174    nan
38    8.099813    nan
39    7.994388    nan
40    7.905155    nan
41    7.810835    nan
42    7.705494    nan
43    7.568722    nan
44    7.435161    nan
45    7.298750    nan
46    7.194029    nan
47    7.108940    nan
48    7.029900    nan
49    6.964881    nan
50    6.901881    nan
51    6.846562    nan
52    6.769568    nan
53    6.680073    nan
54    6.609687    nan
55    6.547977    nan
56    6.461930    nan
57    6.418415    nan
58    6.358087    nan
59    6.328553    nan
60    6.280891    nan
61    6.251221    nan
62    6.221569    nan
63    6.215264    nan
