# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.347750    0.220683
2    0.532153    0.354366
3    0.699111    0.430375
4    0.882125    0.486149
5    1.054951    0.524493
6    1.234400    0.543163
7    1.419754    0.554121
8    1.581515    nan
9    1.774900    nan
10    1.982796    nan
11    2.214738    nan
12    2.443977    nan
13    2.680281    nan
14    2.925131    nan
15    3.168543    nan
16    3.396606    nan
17    3.651950    nan
18    3.908194    nan
19    4.141774    nan
20    4.366922    nan
21    4.566985    nan
22    4.765667    nan
23    4.959122    nan
24    5.127475    nan
25    5.277625    nan
26    5.423691    nan
27    5.536377    nan
28    5.623900    nan
29    5.720409    nan
30    5.820201    nan
31    5.925322    nan
32    6.022895    nan
33    6.122314    nan
34    6.219529    nan
35    6.294636    nan
36    6.330697    nan
37    6.380679    nan
38    6.439318    nan
39    6.502904    nan
40    6.551896    nan
41    6.615647    nan
42    6.677088    nan
43    6.746373    nan
44    6.819499    nan
45    6.887749    nan
46    6.952602    nan
47    7.019504    nan
48    7.087400    nan
49    7.136582    nan
50    7.195315    nan
51    7.234537    nan
52    7.263649    nan
53    7.301009    nan
54    7.346551    nan
55    7.394704    nan
56    7.452055    nan
57    7.489862    nan
58    7.535238    nan
59    7.590413    nan
60    7.656297    nan
61    7.706717    nan
62    7.745676    nan
63    7.778749    nan
64    7.799352    nan
65    7.792187    nan
66    7.809365    nan
67    7.825203    nan
68    7.827371    nan
69    7.828531    nan
70    7.841591    nan
71    7.873664    nan
72    7.890925    nan
73    7.921975    nan
74    7.946156    nan
75    7.962477    nan
76    7.978048    nan
77    8.011545    nan
78    8.005577    nan
79    8.007531    nan
80    7.993672    nan
81    7.972784    nan
82    7.942278    nan
83    7.912153    nan
84    7.893544    nan
85    7.861789    nan
86    7.828498    nan
87    7.806905    nan
88    7.759700    nan
89    7.695558    nan
90    7.631821    nan
91    7.560789    nan
92    7.462344    nan
93    7.361711    nan
94    7.232361    nan
95    7.106026    nan
96    6.985057    nan
97    6.852817    nan
98    6.734332    nan
99    6.632981    nan
100    6.523159    nan
101    6.438550    nan
102    6.345345    nan
103    6.261296    nan
104    6.166729    nan
105    6.069582    nan
106    5.979202    nan
107    5.908037    nan
108    5.836157    nan
109    5.784161    nan
110    5.735743    nan
111    5.695006    nan
112    5.679850    nan
113    5.657408    nan
114    5.629837    nan
115    5.634250    nan
116    5.630701    nan
117    5.639499    nan
118    5.644942    nan
119    5.658826    nan
120    5.673514    nan
121    5.693262    nan
122    5.692835    nan
123    5.700183    nan
124    5.709827    nan
125    5.718861    nan
126    5.711385    nan
127    5.704791    nan
