# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.247512    0.185913
2    0.428323    0.278723
3    0.618367    0.328074
4    0.847197    0.364419
5    1.128317    0.390384
6    1.434217    0.410742
7    1.780001    0.419280
8    2.166676    nan
9    2.591797    nan
10    3.041920    nan
11    3.520676    nan
12    4.025371    nan
13    4.553443    nan
14    5.110813    nan
15    5.686539    nan
16    6.278521    nan
17    6.871723    nan
18    7.481498    nan
19    8.099539    nan
20    8.725642    nan
21    9.368949    nan
22    10.033221    nan
23    10.708378    nan
24    11.380483    nan
25    12.063020    nan
26    12.748252    nan
27    13.429776    nan
28    14.114215    nan
29    14.804133    nan
30    15.488975    nan
31    16.161553    nan
32    16.829787    nan
33    17.483267    nan
34    18.117003    nan
35    18.744144    nan
36    19.354754    nan
37    19.951095    nan
38    20.525555    nan
39    21.088850    nan
40    21.627038    nan
41    22.157467    nan
42    22.657830    nan
43    23.151491    nan
44    23.633582    nan
45    24.077374    nan
46    24.494457    nan
47    24.889275    nan
48    25.248024    nan
49    25.594990    nan
50    25.918197    nan
51    26.217476    nan
52    26.495756    nan
53    26.749062    nan
54    26.981383    nan
55    27.193558    nan
56    27.376571    nan
57    27.549626    nan
58    27.701759    nan
59    27.840584    nan
60    27.976494    nan
61    28.097247    nan
62    28.189645    nan
63    28.262945    nan
64    28.321788    nan
65    28.373425    nan
66    28.403682    nan
67    28.427741    nan
68    28.436425    nan
69    28.420987    nan
70    28.400425    nan
71    28.367070    nan
72    28.321104    nan
73    28.246332    nan
74    28.179121    nan
75    28.100611    nan
76    28.001392    nan
77    27.889283    nan
78    27.776845    nan
79    27.653082    nan
80    27.529185    nan
81    27.389134    nan
82    27.249041    nan
83    27.078095    nan
84    26.908791    nan
85    26.742167    nan
86    26.561891    nan
87    26.363567    nan
88    26.156662    nan
89    25.940910    nan
90    25.726222    nan
91    25.504499    nan
92    25.280525    nan
93    25.056896    nan
94    24.840194    nan
95    24.611026    nan
96    24.367153    nan
97    24.112564    nan
98    23.852226    nan
99    23.572084    nan
100    23.296988    nan
101    23.026480    nan
102    22.757327    nan
103    22.484125    nan
104    22.201242    nan
105    21.911605    nan
106    21.616152    nan
107    21.335435    nan
108    21.042183    nan
109    20.742114    nan
110    20.447461    nan
111    20.148276    nan
112    19.856136    nan
113    19.576570    nan
114    19.314011    nan
115    19.068625    nan
116    18.849800    nan
117    18.641292    nan
118    18.452909    nan
119    18.288462    nan
120    18.141708    nan
121    18.012023    nan
122    17.897334    nan
123    17.794118    nan
124    17.719401    nan
125    17.659942    nan
126    17.619721    nan
127    17.598514    nan
