# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.357825    0.236625
2    0.510204    0.377931
3    0.606870    0.471878
4    0.711459    0.517277
5    0.792536    0.533647
6    0.866637    0.556189
7    0.968545    0.584022
8    1.032347    nan
9    1.073049    nan
10    1.117188    nan
11    1.168536    nan
12    1.215031    nan
13    1.235956    nan
14    1.289009    nan
15    1.329511    nan
16    1.356120    nan
17    1.394275    nan
18    1.406510    nan
19    1.423803    nan
20    1.446828    nan
21    1.483149    nan
22    1.530417    nan
23    1.560390    nan
24    1.568069    nan
25    1.584700    nan
26    1.596696    nan
27    1.625077    nan
28    1.626164    nan
29    1.634968    nan
30    1.646944    nan
31    1.636892    nan
32    1.611151    nan
33    1.603243    nan
34    1.574890    nan
35    1.551663    nan
36    1.545442    nan
37    1.523544    nan
38    1.481266    nan
39    1.469249    nan
40    1.408244    nan
41    1.365693    nan
42    1.326199    nan
43    1.315876    nan
44    1.309229    nan
45    1.274688    nan
46    1.255482    nan
47    1.260040    nan
48    1.280119    nan
49    1.281417    nan
50    1.277902    nan
51    1.239358    nan
52    1.227742    nan
53    1.218720    nan
54    1.220010    nan
55    1.218932    nan
56    1.232204    nan
57    1.247285    nan
58    1.250175    nan
59    1.263378    nan
60    1.263432    nan
61    1.237448    nan
62    1.276035    nan
63    1.283571    nan
