# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.035564    0.005079
2    0.125070    0.007553
3    0.267178    0.008656
4    0.458641    0.009710
5    0.697493    0.010242
6    0.982414    0.010304
7    1.312803    0.010926
8    1.687104    nan
9    2.103254    nan
10    2.558055    nan
11    3.048247    nan
12    3.572289    nan
13    4.128204    nan
14    4.713289    nan
15    5.325151    nan
16    5.962106    nan
17    6.622765    nan
18    7.307225    nan
19    8.013377    nan
20    8.740193    nan
21    9.485649    nan
22    10.247538    nan
23    11.024458    nan
24    11.815257    nan
25    12.618400    nan
26    13.431811    nan
27    14.252508    nan
28    15.077232    nan
29    15.904614    nan
30    16.732554    nan
31    17.559322    nan
32    18.381712    nan
33    19.196493    nan
34    20.002104    nan
35    20.797621    nan
36    21.582464    nan
37    22.357553    nan
38    23.121841    nan
39    23.872248    nan
40    24.607274    nan
41    25.324628    nan
42    26.023431    nan
43    26.704000    nan
44    27.365377    nan
45    28.007135    nan
46    28.628353    nan
47    29.226333    nan
48    29.800954    nan
49    30.350590    nan
50    30.873467    nan
51    31.366953    nan
52    31.829833    nan
53    32.260110    nan
54    32.657961    nan
55    33.022442    nan
56    33.351906    nan
57    33.644450    nan
58    33.899019    nan
59    34.115229    nan
60    34.292618    nan
61    34.431312    nan
62    34.531818    nan
63    34.592719    nan
