# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.348548    0.234902
2    0.541150    0.380307
3    0.680433    0.465594
4    0.779478    0.502754
5    0.859189    0.523785
6    0.937025    0.546632
7    1.027493    0.556912
8    1.147173    nan
9    1.264690    nan
10    1.372410    nan
11    1.454957    nan
12    1.555878    nan
13    1.659457    nan
14    1.787437    nan
15    1.898085    nan
16    2.017045    nan
17    2.098887    nan
18    2.208969    nan
19    2.288038    nan
20    2.392302    nan
21    2.465674    nan
22    2.547284    nan
23    2.649310    nan
24    2.761775    nan
25    2.887071    nan
26    3.002978    nan
27    3.107121    nan
28    3.167801    nan
29    3.195949    nan
30    3.194795    nan
31    3.190946    nan
32    3.210376    nan
33    3.221069    nan
34    3.183863    nan
35    3.121435    nan
36    3.056907    nan
37    3.009539    nan
38    2.980007    nan
39    2.945615    nan
40    2.871897    nan
41    2.746710    nan
42    2.604146    nan
43    2.466697    nan
44    2.381427    nan
45    2.321733    nan
46    2.254714    nan
47    2.144258    nan
48    2.018519    nan
49    1.929676    nan
50    1.868445    nan
51    1.782341    nan
52    1.692528    nan
53    1.570940    nan
54    1.451419    nan
55    1.355236    nan
56    1.269409    nan
57    1.223630    nan
58    1.121460    nan
59    1.066196    nan
60    1.015662    nan
61    0.978422    nan
62    0.973693    nan
63    0.958860    nan
