# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.167897    0.149149
2    0.269575    0.221700
3    0.370684    0.262338
4    0.453575    0.289961
5    0.555386    0.298154
6    0.672114    0.312434
7    0.791169    0.314023
8    0.911164    nan
9    1.034033    nan
10    1.176165    nan
11    1.325085    nan
12    1.476339    nan
13    1.626890    nan
14    1.803410    nan
15    1.987923    nan
16    2.177096    nan
17    2.368109    nan
18    2.541452    nan
19    2.710369    nan
20    2.864620    nan
21    3.016362    nan
22    3.142934    nan
23    3.285926    nan
24    3.423252    nan
25    3.555590    nan
26    3.688848    nan
27    3.802405    nan
28    3.914609    nan
29    4.019373    nan
30    4.136496    nan
31    4.245806    nan
32    4.347590    nan
33    4.437266    nan
34    4.530912    nan
35    4.620181    nan
36    4.698531    nan
37    4.774229    nan
38    4.857343    nan
39    4.944815    nan
40    5.036879    nan
41    5.116897    nan
42    5.191177    nan
43    5.273222    nan
44    5.360416    nan
45    5.445603    nan
46    5.537251    nan
47    5.628181    nan
48    5.729991    nan
49    5.828962    nan
50    5.922002    nan
51    6.001266    nan
52    6.078245    nan
53    6.167310    nan
54    6.242805    nan
55    6.309631    nan
56    6.381223    nan
57    6.428744    nan
58    6.489734    nan
59    6.544282    nan
60    6.593140    nan
61    6.637301    nan
62    6.669326    nan
63    6.686020    nan
