# k    qy    S_u(qy)
1    0.0245437    20.8781
2    0.0490874    1.02316
3    0.0736311    0.00674895
4    0.0981748    0.087904
5    0.122718    0.0293567
6    0.147262    0.006018
7    0.171806    0.030114
8    0.19635    0.0117707
9    0.220893    0.0103712
10    0.245437    0.0100189
11    0.269981    0.00242355
12    0.294524    0.0063703
13    0.319068    0.00116355
14    0.343612    0.00273989
15    0.368155    0.00140224
16    0.392699    0.00384663
17    0.417243    0.00140532
18    0.441786    0.00114236
19    0.46633    0.00173535
20    0.490874    0.00137631
21    0.515418    0.00199905
22    0.539961    0.00102602
23    0.564505    0.00108827
24    0.589049    0.0010395
25    0.613592    0.00137562
26    0.638136    0.00214592
27    0.66268    0.0012943
28    0.687223    0.000582682
29    0.711767    0.00138302
30    0.736311    0.00147333
31    0.760854    0.000647414
32    0.785398    0.0012253
33    0.809942    0.00104826
34    0.834486    0.000963594
35    0.859029    0.00111175
36    0.883573    0.00154159
37    0.908117    0.000824709
38    0.93266    0.000681522
39    0.957204    0.00104561
40    0.981748    0.000752213
41    1.00629    0.0010746
42    1.03084    0.000903721
43    1.05538    0.000734794
44    1.07992    0.000408754
45    1.10447    0.000833298
46    1.12901    0.000477995
47    1.15355    0.000523453
48    1.1781    0.000730312
49    1.20264    0.000807173
50    1.22718    0.000515213
51    1.25173    0.000745348
52    1.27627    0.000491298
53    1.30082    0.000553321
54    1.32536    0.000590624
55    1.3499    0.000377863
56    1.37445    0.000407457
57    1.39899    0.000625599
58    1.42353    0.000503009
59    1.44808    0.000511943
60    1.47262    0.000550708
61    1.49717    0.000354777
62    1.52171    0.000658276
63    1.54625    0.000274055
64    1.5708    0.000588512
65    1.59534    0.000496004
66    1.61988    0.00080798
67    1.64443    0.0004499
68    1.66897    0.000616347
69    1.69351    0.000362385
70    1.71806    0.000406515
71    1.7426    0.000361561
72    1.76715    0.000423683
73    1.79169    0.000492961
74    1.81623    0.000551971
75    1.84078    0.000305197
76    1.86532    0.000832349
77    1.88986    0.000333986
78    1.91441    0.000229956
79    1.93895    0.00046415
80    1.9635    0.000552269
81    1.98804    0.000387683
82    2.01258    0.000409061
83    2.03713    0.000518534
84    2.06167    0.000197204
85    2.08621    0.000427087
86    2.11076    0.000399061
87    2.1353    0.000476292
88    2.15984    0.000401961
89    2.18439    0.000465347
90    2.20893    0.000344321
91    2.23348    0.000554818
92    2.25802    0.000394591
93    2.28256    0.000346671
94    2.30711    0.000418403
95    2.33165    0.000218965
96    2.35619    0.0003321
97    2.38074    0.000336855
98    2.40528    0.000264247
99    2.42983    0.000334815
100    2.45437    0.000467944
101    2.47891    0.000454639
102    2.50346    0.000299286
103    2.528    0.000248867
104    2.55254    0.000246893
105    2.57709    0.000330756
106    2.60163    0.000173625
107    2.62618    0.000357381
108    2.65072    0.000504796
109    2.67526    0.000431591
110    2.69981    0.000288431
111    2.72435    0.000301178
112    2.74889    0.000343685
113    2.77344    0.000389058
114    2.79798    0.00024724
115    2.82252    0.000387372
116    2.84707    0.000377034
117    2.87161    0.000502892
118    2.89616    0.000303795
119    2.9207    0.00033454
120    2.94524    0.000281637
121    2.96979    0.00058555
122    2.99433    0.0002217
123    3.01887    0.000244885
124    3.04342    0.000326195
125    3.06796    0.000208638
126    3.09251    0.000523916
127    3.11705    0.000397103
128    3.14159    0.000482808
