# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.223339    0.148946
2    0.440737    0.213533
3    0.721353    0.258617
4    1.084709    0.279875
5    1.519391    0.287936
6    2.026240    0.302517
7    2.615243    0.313693
8    3.254807    nan
9    3.956532    nan
10    4.720568    nan
11    5.541404    nan
12    6.404948    nan
13    7.312024    nan
14    8.274538    nan
15    9.283696    nan
16    10.318692    nan
17    11.395696    nan
18    12.487691    nan
19    13.614165    nan
20    14.759962    nan
21    15.922379    nan
22    17.104820    nan
23    18.290771    nan
24    19.477350    nan
25    20.681684    nan
26    21.888344    nan
27    23.093092    nan
28    24.290434    nan
29    25.498333    nan
30    26.705547    nan
31    27.905554    nan
32    29.098562    nan
33    30.294669    nan
34    31.481183    nan
35    32.664802    nan
36    33.848402    nan
37    35.009634    nan
38    36.145367    nan
39    37.294723    nan
40    38.413640    nan
41    39.524929    nan
42    40.626353    nan
43    41.719518    nan
44    42.802954    nan
45    43.846852    nan
46    44.867127    nan
47    45.866160    nan
48    46.834323    nan
49    47.752527    nan
50    48.625708    nan
51    49.431972    nan
52    50.196819    nan
53    50.907193    nan
54    51.570146    nan
55    52.178342    nan
56    52.739745    nan
57    53.251156    nan
58    53.699482    nan
59    54.086623    nan
60    54.406587    nan
61    54.649364    nan
62    54.846886    nan
63    54.968249    nan
