# k    qy    S_u(qy)
1    0.0490874    2.63871
2    0.0981748    0.0802434
3    0.147262    0.010728
4    0.19635    0.000527755
5    0.245437    0.000883178
6    0.294524    0.00363916
7    0.343612    0.00369131
8    0.392699    0.00047433
9    0.441786    0.000876449
10    0.490874    0.000197262
11    0.539961    0.000541266
12    0.589049    9.05917e-05
13    0.638136    0.000469054
14    0.687223    0.000209929
15    0.736311    6.0737e-05
16    0.785398    8.02905e-05
17    0.834486    8.40685e-05
18    0.883573    0.000124742
19    0.93266    6.54951e-05
20    0.981748    8.15184e-05
21    1.03084    3.251e-05
22    1.07992    7.38506e-05
23    1.12901    0.00010465
24    1.1781    4.52939e-05
25    1.22718    7.83316e-05
26    1.27627    3.08562e-05
27    1.32536    3.84276e-05
28    1.37445    4.52658e-05
29    1.42353    3.86226e-05
30    1.47262    3.62531e-05
31    1.52171    2.66032e-05
32    1.5708    2.35402e-05
33    1.61988    1.75686e-05
34    1.66897    2.41332e-05
35    1.71806    2.36686e-05
36    1.76715    1.58494e-05
37    1.81623    2.81072e-05
38    1.86532    2.56265e-05
39    1.91441    1.38146e-05
40    1.9635    3.26774e-05
41    2.01258    2.10847e-05
42    2.06167    2.93257e-05
43    2.11076    1.59897e-05
44    2.15984    8.93296e-06
45    2.20893    1.54236e-05
46    2.25802    1.37386e-05
47    2.30711    1.69774e-05
48    2.35619    1.1648e-05
49    2.40528    1.64742e-05
50    2.45437    1.0789e-05
51    2.50346    1.46099e-05
52    2.55254    1.90303e-05
53    2.60163    1.30057e-05
54    2.65072    1.54804e-05
55    2.69981    9.36437e-06
56    2.74889    1.58781e-05
57    2.79798    2.32755e-05
58    2.84707    1.97776e-05
59    2.89616    2.04105e-05
60    2.94524    1.26041e-05
61    2.99433    1.61589e-05
62    3.04342    1.51692e-05
63    3.09251    2.46611e-05
64    3.14159    1.37567e-05
