# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.159333    0.116236
2    0.306895    0.170559
3    0.499544    0.199798
4    0.733881    0.222322
5    1.008853    0.237272
6    1.329186    0.246910
7    1.683396    0.252580
8    2.065617    nan
9    2.487523    nan
10    2.938621    nan
11    3.422446    nan
12    3.929537    nan
13    4.462078    nan
14    5.012067    nan
15    5.590772    nan
16    6.189406    nan
17    6.816871    nan
18    7.472106    nan
19    8.144437    nan
20    8.841639    nan
21    9.544169    nan
22    10.260067    nan
23    10.993539    nan
24    11.745838    nan
25    12.511739    nan
26    13.286761    nan
27    14.076703    nan
28    14.883880    nan
29    15.702170    nan
30    16.535586    nan
31    17.365999    nan
32    18.205486    nan
33    19.058164    nan
34    19.913579    nan
35    20.784635    nan
36    21.657710    nan
37    22.536403    nan
38    23.410839    nan
39    24.288891    nan
40    25.176832    nan
41    26.069880    nan
42    26.978016    nan
43    27.901187    nan
44    28.828976    nan
45    29.773697    nan
46    30.727006    nan
47    31.685494    nan
48    32.650930    nan
49    33.622677    nan
50    34.599519    nan
51    35.576538    nan
52    36.560191    nan
53    37.539739    nan
54    38.513608    nan
55    39.489720    nan
56    40.464472    nan
57    41.431187    nan
58    42.381769    nan
59    43.333224    nan
60    44.283444    nan
61    45.226177    nan
62    46.174692    nan
63    47.119119    nan
64    48.067672    nan
65    49.014969    nan
66    49.955091    nan
67    50.892475    nan
68    51.834974    nan
69    52.782551    nan
70    53.732179    nan
71    54.678506    nan
72    55.633172    nan
73    56.587599    nan
74    57.534935    nan
75    58.486174    nan
76    59.443579    nan
77    60.406191    nan
78    61.360934    nan
79    62.320440    nan
80    63.270807    nan
81    64.219231    nan
82    65.162712    nan
83    66.094895    nan
84    67.010599    nan
85    67.923527    nan
86    68.820914    nan
87    69.704731    nan
88    70.575875    nan
89    71.430890    nan
90    72.264273    nan
91    73.084036    nan
92    73.883956    nan
93    74.671583    nan
94    75.441660    nan
95    76.187593    nan
96    76.918334    nan
97    77.632811    nan
98    78.325914    nan
99    78.993399    nan
100    79.634511    nan
101    80.250941    nan
102    80.841513    nan
103    81.409528    nan
104    81.949095    nan
105    82.457245    nan
106    82.938060    nan
107    83.385437    nan
108    83.806387    nan
109    84.196028    nan
110    84.569672    nan
111    84.924091    nan
112    85.248621    nan
113    85.550264    nan
114    85.838905    nan
115    86.108651    nan
116    86.357828    nan
117    86.593881    nan
118    86.816688    nan
119    87.025112    nan
120    87.208550    nan
121    87.383502    nan
122    87.534637    nan
123    87.666460    nan
124    87.770916    nan
125    87.863567    nan
126    87.923704    nan
127    87.966180    nan
