# k    qy    S_u(qy)
1    0.0245437    5.28818
2    0.0490874    0.18921
3    0.0736311    0.68499
4    0.0981748    0.0621699
5    0.122718    0.0386966
6    0.147262    0.0322183
7    0.171806    0.0207717
8    0.19635    0.00849919
9    0.220893    0.00343345
10    0.245437    0.00453656
11    0.269981    0.0019459
12    0.294524    0.00125561
13    0.319068    0.00137996
14    0.343612    0.000605179
15    0.368155    0.000422889
16    0.392699    0.00189545
17    0.417243    0.000548287
18    0.441786    0.000350582
19    0.46633    2.54268e-05
20    0.490874    9.28403e-05
21    0.515418    0.000129399
22    0.539961    0.000184613
23    0.564505    7.70019e-05
24    0.589049    4.37258e-05
25    0.613592    1.78887e-05
26    0.638136    2.53339e-05
27    0.66268    9.6656e-05
28    0.687223    4.41435e-05
29    0.711767    1.69921e-05
30    0.736311    4.44484e-05
31    0.760854    9.7237e-05
32    0.785398    5.34529e-05
33    0.809942    1.74303e-05
34    0.834486    5.52223e-05
35    0.859029    3.61471e-05
36    0.883573    7.09139e-05
37    0.908117    3.33519e-05
38    0.93266    2.18105e-05
39    0.957204    5.93521e-05
40    0.981748    1.92179e-05
41    1.00629    2.04984e-05
42    1.03084    6.35013e-05
43    1.05538    3.13914e-05
44    1.07992    2.50194e-05
45    1.10447    4.79631e-05
46    1.12901    3.08939e-05
47    1.15355    2.97871e-05
48    1.1781    2.01685e-05
49    1.20264    2.03365e-05
50    1.22718    1.74677e-05
51    1.25173    2.4386e-05
52    1.27627    1.65018e-05
53    1.30082    1.90442e-05
54    1.32536    2.54624e-05
55    1.3499    2.11675e-05
56    1.37445    4.42411e-05
57    1.39899    1.48859e-05
58    1.42353    1.35064e-05
59    1.44808    2.22207e-05
60    1.47262    1.62699e-05
61    1.49717    1.41256e-05
62    1.52171    9.90918e-06
63    1.54625    2.00433e-05
64    1.5708    3.23067e-05
65    1.59534    2.0966e-05
66    1.61988    2.06702e-05
67    1.64443    1.02949e-05
68    1.66897    1.27781e-05
69    1.69351    5.2137e-06
70    1.71806    8.26433e-06
71    1.7426    1.74033e-05
72    1.76715    1.44634e-05
73    1.79169    1.59355e-05
74    1.81623    1.4133e-05
75    1.84078    1.11149e-05
76    1.86532    1.35741e-05
77    1.88986    6.99838e-06
78    1.91441    1.31448e-05
79    1.93895    1.01101e-05
80    1.9635    1.42351e-05
81    1.98804    8.89264e-06
82    2.01258    1.15324e-05
83    2.03713    8.34756e-06
84    2.06167    1.4618e-05
85    2.08621    1.00358e-05
86    2.11076    5.32716e-06
87    2.1353    9.15316e-06
88    2.15984    1.19439e-05
89    2.18439    1.03299e-05
90    2.20893    6.02773e-06
91    2.23348    1.15033e-05
92    2.25802    8.13605e-06
93    2.28256    1.15228e-05
94    2.30711    9.683e-06
95    2.33165    1.51436e-05
96    2.35619    2.75395e-05
97    2.38074    6.65166e-06
98    2.40528    9.49364e-06
99    2.42983    7.67454e-06
100    2.45437    7.35388e-06
101    2.47891    1.20397e-05
102    2.50346    7.87984e-06
103    2.528    8.84785e-06
104    2.55254    7.13806e-06
105    2.57709    6.20991e-06
106    2.60163    3.59459e-06
107    2.62618    6.16115e-06
108    2.65072    1.09309e-05
109    2.67526    8.62588e-06
110    2.69981    6.4871e-06
111    2.72435    1.20766e-05
112    2.74889    4.29291e-06
113    2.77344    6.12605e-06
114    2.79798    5.47904e-06
115    2.82252    9.65861e-06
116    2.84707    9.80494e-06
117    2.87161    1.03615e-05
118    2.89616    6.70196e-06
119    2.9207    6.56161e-06
120    2.94524    1.00757e-05
121    2.96979    7.15729e-06
122    2.99433    6.44427e-06
123    3.01887    7.61579e-06
124    3.04342    9.13346e-06
125    3.06796    7.15786e-06
126    3.09251    5.64632e-06
127    3.11705    8.83243e-06
128    3.14159    1.28755e-05
