# k    qy    S_u(qy)
1    0.0490874    0.256991
2    0.0981748    0.111986
3    0.147262    0.175875
4    0.19635    0.0587647
5    0.245437    0.0199929
6    0.294524    0.0177204
7    0.343612    0.00313202
8    0.392699    0.00702018
9    0.441786    0.0100132
10    0.490874    0.00966981
11    0.539961    0.0028534
12    0.589049    0.00455401
13    0.638136    0.0101309
14    0.687223    0.0045118
15    0.736311    0.00238892
16    0.785398    0.00251322
17    0.834486    0.0024326
18    0.883573    0.00225038
19    0.93266    0.00172863
20    0.981748    0.00288561
21    1.03084    0.00263047
22    1.07992    0.00282248
23    1.12901    0.00243867
24    1.1781    0.00416549
25    1.22718    0.00238593
26    1.27627    0.00278274
27    1.32536    0.00249846
28    1.37445    0.00330743
29    1.42353    0.00232332
30    1.47262    0.00173084
31    1.52171    0.00242107
32    1.5708    0.00161697
33    1.61988    0.00211828
34    1.66897    0.00135781
35    1.71806    0.000892577
36    1.76715    0.00113875
37    1.81623    0.00213009
38    1.86532    0.00118242
39    1.91441    0.00195013
40    1.9635    0.00182308
41    2.01258    0.00225264
42    2.06167    0.00183089
43    2.11076    0.00119791
44    2.15984    0.00142611
45    2.20893    0.000901984
46    2.25802    0.00167669
47    2.30711    0.00172288
48    2.35619    0.00149245
49    2.40528    0.00151218
50    2.45437    0.00113205
51    2.50346    0.00247462
52    2.55254    0.000894952
53    2.60163    0.00112949
54    2.65072    0.000804905
55    2.69981    0.00218967
56    2.74889    0.000999782
57    2.79798    0.00111032
58    2.84707    0.000779056
59    2.89616    0.00057057
60    2.94524    0.00177249
61    2.99433    0.00104139
62    3.04342    0.000761457
63    3.09251    0.00105916
64    3.14159    0.0017514
