# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.067906    0.064260
2    0.113106    0.091828
3    0.152051    0.113852
4    0.192230    0.123744
5    0.234910    0.131573
6    0.278778    0.137545
7    0.329599    0.139902
8    0.385682    nan
9    0.439812    nan
10    0.496104    nan
11    0.558210    nan
12    0.619862    nan
13    0.689145    nan
14    0.759523    nan
15    0.829245    nan
16    0.905549    nan
17    0.983408    nan
18    1.059247    nan
19    1.138471    nan
20    1.211293    nan
21    1.286471    nan
22    1.365538    nan
23    1.443830    nan
24    1.519226    nan
25    1.596889    nan
26    1.673924    nan
27    1.747007    nan
28    1.816608    nan
29    1.880842    nan
30    1.944017    nan
31    2.009188    nan
32    2.075347    nan
33    2.138582    nan
34    2.198985    nan
35    2.263679    nan
36    2.326743    nan
37    2.397017    nan
38    2.464947    nan
39    2.530969    nan
40    2.592706    nan
41    2.650523    nan
42    2.706372    nan
43    2.757465    nan
44    2.805302    nan
45    2.856393    nan
46    2.910048    nan
47    2.958031    nan
48    3.010195    nan
49    3.065361    nan
50    3.121101    nan
51    3.177361    nan
52    3.231751    nan
53    3.276608    nan
54    3.319505    nan
55    3.359903    nan
56    3.393745    nan
57    3.425185    nan
58    3.449647    nan
59    3.465756    nan
60    3.485769    nan
61    3.507432    nan
62    3.521229    nan
63    3.527872    nan
