# k    qy    S_u(qy)
1    0.0122718    90.3999
2    0.0245437    3.94187
3    0.0368155    5.16464
4    0.0490874    2.32886
5    0.0613592    0.580127
6    0.0736311    0.116
7    0.0859029    0.038661
8    0.0981748    0.0824693
9    0.110447    0.0179307
10    0.122718    0.0342951
11    0.13499    0.00474634
12    0.147262    0.00309333
13    0.159534    0.0780317
14    0.171806    0.00230973
15    0.184078    0.00800157
16    0.19635    0.0129322
17    0.208621    0.000845046
18    0.220893    0.00157534
19    0.233165    0.00374429
20    0.245437    0.00325267
21    0.257709    0.00181987
22    0.269981    0.00234119
23    0.282252    0.0045974
24    0.294524    0.00187629
25    0.306796    0.00254834
26    0.319068    0.00308626
27    0.33134    0.00161682
28    0.343612    0.00182569
29    0.355884    0.000990833
30    0.368155    0.000851708
31    0.380427    0.00132436
32    0.392699    0.00193249
33    0.404971    0.000974452
34    0.417243    0.000993728
35    0.429515    0.000700971
36    0.441786    0.000819739
37    0.454058    0.00113368
38    0.46633    0.00127818
39    0.478602    0.000652463
40    0.490874    0.000589056
41    0.503146    0.00080873
42    0.515418    0.000669558
43    0.527689    0.00075309
44    0.539961    0.00071886
45    0.552233    0.000829676
46    0.564505    0.000687146
47    0.576777    0.000517758
48    0.589049    0.00055901
49    0.60132    0.00077833
50    0.613592    0.000768164
51    0.625864    0.000966921
52    0.638136    0.000407201
53    0.650408    0.000434988
54    0.66268    0.000687543
55    0.674952    0.000424041
56    0.687223    0.000483545
57    0.699495    0.000453075
58    0.711767    0.000551538
59    0.724039    0.000597142
60    0.736311    0.000597283
61    0.748583    0.000311515
62    0.760854    0.000894973
63    0.773126    0.000362932
64    0.785398    0.00049703
65    0.79767    0.000400493
66    0.809942    0.000654097
67    0.822214    0.000518572
68    0.834486    0.000473847
69    0.846757    0.000440811
70    0.859029    0.00038265
71    0.871301    0.000706824
72    0.883573    0.000504636
73    0.895845    0.000324225
74    0.908117    0.000582344
75    0.920388    0.000364603
76    0.93266    0.000465142
77    0.944932    0.000508058
78    0.957204    0.000371936
79    0.969476    0.000377356
80    0.981748    0.000278327
81    0.99402    0.000254679
82    1.00629    0.000298417
