# k    qy    S_u(qy)
1    0.0122718    38.9957
2    0.0245437    6.70411
3    0.0368155    2.08915
4    0.0490874    0.0136067
5    0.0613592    0.123044
6    0.0736311    0.0580041
7    0.0859029    0.245671
8    0.0981748    0.0546668
9    0.110447    0.0212921
10    0.122718    0.0283755
11    0.13499    0.0198694
12    0.147262    0.0262787
13    0.159534    0.0133039
14    0.171806    0.034616
15    0.184078    0.00724645
16    0.19635    0.0136801
17    0.208621    0.0092513
18    0.220893    0.00522251
19    0.233165    0.00245652
20    0.245437    0.00387368
21    0.257709    0.00262868
22    0.269981    0.00262331
23    0.282252    0.00124905
24    0.294524    0.00129988
25    0.306796    0.000711892
26    0.319068    0.00240406
27    0.33134    0.0026206
28    0.343612    0.00114591
29    0.355884    0.00101948
30    0.368155    0.00337808
31    0.380427    0.0015346
32    0.392699    0.00137018
33    0.404971    0.00144609
34    0.417243    0.00116275
35    0.429515    0.00168845
36    0.441786    0.00145352
37    0.454058    0.00200802
38    0.46633    0.00101676
39    0.478602    0.00162819
40    0.490874    0.00179198
41    0.503146    0.00159441
42    0.515418    0.00104107
43    0.527689    0.00140035
44    0.539961    0.000706361
45    0.552233    0.00102808
46    0.564505    0.000925036
47    0.576777    0.000856075
48    0.589049    0.000617923
49    0.60132    0.00116248
50    0.613592    0.000969437
51    0.625864    0.000674531
52    0.638136    0.000675928
53    0.650408    0.000604053
54    0.66268    0.0010196
55    0.674952    0.000623567
56    0.687223    0.00114353
57    0.699495    0.000751834
58    0.711767    0.000471409
59    0.724039    0.000797995
60    0.736311    0.000474777
61    0.748583    0.000693922
62    0.760854    0.000531508
63    0.773126    0.000623332
64    0.785398    0.000824567
65    0.79767    0.00105393
66    0.809942    0.000706137
67    0.822214    0.000814277
68    0.834486    0.000364128
69    0.846757    0.00042346
70    0.859029    0.000658814
71    0.871301    0.00053454
72    0.883573    0.000715874
73    0.895845    0.000377083
74    0.908117    0.000815959
75    0.920388    0.000422531
76    0.93266    0.000512622
77    0.944932    0.000646695
78    0.957204    0.000550111
79    0.969476    0.000511756
80    0.981748    0.000309311
81    0.99402    0.00063699
82    1.00629    0.000437356
83    1.01856    0.000665915
84    1.03084    0.000377841
85    1.04311    0.000716722
86    1.05538    0.000525889
87    1.06765    0.000423456
88    1.07992    0.000541912
89    1.09219    0.000404747
90    1.10447    0.000460883
91    1.11674    0.000493746
92    1.12901    0.000347545
93    1.14128    0.000398638
94    1.15355    0.000436879
95    1.16583    0.000377005
96    1.1781    0.000365483
97    1.19037    0.000517188
98    1.20264    0.000528256
99    1.21491    0.000436586
100    1.22718    0.000254324
101    1.23946    0.000302759
102    1.25173    0.00025108
103    1.264    0.000321769
104    1.27627    0.00034832
105    1.28854    0.000241935
106    1.30082    0.000372382
107    1.31309    0.000410272
108    1.32536    0.00027708
109    1.33763    0.000317932
110    1.3499    0.000586957
111    1.36217    0.000511276
112    1.37445    0.000405697
113    1.38672    0.000330852
114    1.39899    0.00030107
115    1.41126    0.000315007
116    1.42353    0.000350555
117    1.43581    0.000330518
118    1.44808    0.000306609
119    1.46035    0.00029817
120    1.47262    0.00037571
121    1.48489    0.000236255
122    1.49717    0.000242025
123    1.50944    0.000339461
124    1.52171    0.000279932
125    1.53398    0.000223967
126    1.54625    0.000299402
127    1.55852    0.00027367
128    1.5708    0.000287113
129    1.58307    0.000334938
130    1.59534    0.00026139
131    1.60761    0.000294422
132    1.61988    0.000335665
133    1.63216    0.000388045
134    1.64443    0.000255537
135    1.6567    0.000244923
136    1.66897    0.00028624
137    1.68124    0.000263187
138    1.69351    0.000224035
139    1.70579    0.000251163
140    1.71806    0.00028065
141    1.73033    0.000246985
142    1.7426    0.000206957
143    1.75487    0.000344381
144    1.76715    0.00023516
145    1.77942    0.000267388
146    1.79169    0.000337111
147    1.80396    0.000272555
148    1.81623    0.000237155
149    1.82851    0.000325255
150    1.84078    0.000244362
151    1.85305    0.000225135
152    1.86532    0.000262235
153    1.87759    0.000284906
154    1.88986    0.000247466
155    1.90214    0.000203221
156    1.91441    0.000243925
157    1.92668    0.000246936
158    1.93895    0.000325096
159    1.95122    0.000220663
160    1.9635    0.000175844
161    1.97577    0.000164114
162    1.98804    0.000218456
163    2.00031    0.000309
164    2.01258    0.000243232
165    2.02485    0.0001642
166    2.03713    0.000241027
167    2.0494    0.000356184
168    2.06167    0.000286316
169    2.07394    0.000240277
170    2.08621    0.000355572
171    2.09849    0.00025296
172    2.11076    0.000202894
173    2.12303    0.000159255
174    2.1353    0.000292991
175    2.14757    0.000232993
176    2.15984    0.000153092
177    2.17212    0.000168549
178    2.18439    0.000272049
179    2.19666    0.000253051
180    2.20893    0.000254358
181    2.2212    0.000190253
182    2.23348    0.000257036
183    2.24575    0.000332815
184    2.25802    0.000233931
185    2.27029    0.000253856
