# k    qy    S_u(qy)
1    0.0122718    3.79154
2    0.0245437    5.88376
3    0.0368155    2.36399
4    0.0490874    0.175221
5    0.0613592    0.487275
6    0.0736311    0.260481
7    0.0859029    0.138815
8    0.0981748    0.0147155
9    0.110447    0.0819217
10    0.122718    0.0327099
11    0.13499    0.0170674
12    0.147262    0.00436632
13    0.159534    0.00607846
14    0.171806    0.00613581
15    0.184078    0.00720382
16    0.19635    0.00154889
17    0.208621    0.00344105
18    0.220893    0.00790132
19    0.233165    0.00265098
20    0.245437    0.00600481
21    0.257709    0.00210746
22    0.269981    0.0014015
23    0.282252    0.00237394
24    0.294524    0.00301807
25    0.306796    0.00124508
26    0.319068    0.00208081
27    0.33134    0.000847968
28    0.343612    0.00123047
29    0.355884    0.00105914
30    0.368155    0.000677576
31    0.380427    0.00162021
32    0.392699    0.0020546
33    0.404971    0.00145038
34    0.417243    0.000760938
35    0.429515    0.000825641
36    0.441786    0.00107682
37    0.454058    0.0017811
38    0.46633    0.00157406
39    0.478602    0.000709009
40    0.490874    0.00153578
41    0.503146    0.000858032
42    0.515418    0.000561401
43    0.527689    0.000593711
44    0.539961    0.000466667
45    0.552233    0.000597825
46    0.564505    0.000401631
47    0.576777    0.000448187
48    0.589049    0.00062116
49    0.60132    0.000786532
50    0.613592    0.000615612
51    0.625864    0.000634053
52    0.638136    0.000418022
53    0.650408    0.000495773
54    0.66268    0.000923653
55    0.674952    0.000752249
56    0.687223    0.000448719
57    0.699495    0.000362825
58    0.711767    0.000413904
59    0.724039    0.000471987
60    0.736311    0.000422166
61    0.748583    0.00050264
62    0.760854    0.000506683
63    0.773126    0.000405415
64    0.785398    0.000573706
65    0.79767    0.000473179
66    0.809942    0.000385157
67    0.822214    0.000546957
68    0.834486    0.000390463
69    0.846757    0.000356661
70    0.859029    0.00046816
71    0.871301    0.000434718
72    0.883573    0.000335669
73    0.895845    0.000382746
74    0.908117    0.000245597
75    0.920388    0.000420742
76    0.93266    0.000341517
77    0.944932    0.000640777
78    0.957204    0.000355795
79    0.969476    0.000361297
80    0.981748    0.000467467
81    0.99402    0.000220281
82    1.00629    0.000275737
83    1.01856    0.000397946
84    1.03084    0.000277483
85    1.04311    0.000298958
86    1.05538    0.000306392
87    1.06765    0.0003041
88    1.07992    0.000382755
89    1.09219    0.000221193
90    1.10447    0.000329123
91    1.11674    0.00032438
92    1.12901    0.000291112
93    1.14128    0.000227947
94    1.15355    0.000330889
95    1.16583    0.000349043
96    1.1781    0.000236106
97    1.19037    0.000349978
98    1.20264    0.000313138
99    1.21491    0.000278128
100    1.22718    0.000298738
101    1.23946    0.000346464
102    1.25173    0.000310586
103    1.264    0.000321019
104    1.27627    0.000256404
105    1.28854    0.000293818
106    1.30082    0.000377532
107    1.31309    0.000320198
108    1.32536    0.000312188
109    1.33763    0.000260452
110    1.3499    0.000286941
111    1.36217    0.0003597
112    1.37445    0.000288301
113    1.38672    0.000288939
114    1.39899    0.000222811
115    1.41126    0.000262457
116    1.42353    0.000282451
117    1.43581    0.000231984
118    1.44808    0.000279542
119    1.46035    0.000239371
120    1.47262    0.000277312
121    1.48489    0.000222149
122    1.49717    0.000294067
123    1.50944    0.000212061
124    1.52171    0.000197607
125    1.53398    0.000293925
126    1.54625    0.000196705
127    1.55852    0.000215601
128    1.5708    0.00027973
129    1.58307    0.000235727
130    1.59534    0.00031883
131    1.60761    0.000194734
132    1.61988    0.00021383
133    1.63216    0.000177206
134    1.64443    0.00020088
135    1.6567    0.000186877
136    1.66897    0.000232609
137    1.68124    0.000296561
138    1.69351    0.000210841
139    1.70579    0.000203441
140    1.71806    0.000276628
141    1.73033    0.000262708
142    1.7426    0.000205169
143    1.75487    0.00016683
144    1.76715    0.000200027
145    1.77942    0.000239926
146    1.79169    0.000209493
147    1.80396    0.000201784
148    1.81623    0.000166702
149    1.82851    0.000190487
150    1.84078    0.000204947
151    1.85305    0.000124602
152    1.86532    0.000179453
153    1.87759    0.000182977
154    1.88986    0.000230304
155    1.90214    0.000174922
156    1.91441    0.000121735
157    1.92668    0.000175645
158    1.93895    0.000198755
159    1.95122    0.000153371
160    1.9635    0.000160762
161    1.97577    0.000126594
162    1.98804    0.000155904
163    2.00031    0.000241424
164    2.01258    0.000248888
165    2.02485    0.000198633
166    2.03713    0.000186315
167    2.0494    0.0001576
168    2.06167    0.000159154
169    2.07394    0.00013417
170    2.08621    0.000169655
171    2.09849    0.00015508
172    2.11076    0.000182647
173    2.12303    0.00010402
174    2.1353    0.000117584
175    2.14757    0.000153752
176    2.15984    0.000227284
177    2.17212    0.000118965
178    2.18439    0.000163149
179    2.19666    0.000153235
180    2.20893    0.000181696
181    2.2212    0.000203839
182    2.23348    0.000263757
183    2.24575    0.000137892
184    2.25802    0.000174336
185    2.27029    0.000157032
186    2.28256    0.000188764
187    2.29484    0.000157616
188    2.30711    0.000157718
189    2.31938    0.0001613
190    2.33165    0.000154795
191    2.34392    0.000139893
192    2.35619    0.000178804
193    2.36847    0.000171196
194    2.38074    0.00016738
195    2.39301    0.000197243
196    2.40528    0.000126126
197    2.41755    0.000172896
198    2.42983    0.000160212
