# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.394023    0.243387
2    0.674496    0.392384
3    0.963949    0.491849
4    1.291262    0.559176
5    1.662741    0.612213
6    2.081837    0.645769
7    2.553903    0.669994
8    3.069098    0.686301
9    3.643852    0.698278
10    4.252873    0.711987
11    4.907027    0.722029
12    5.589504    0.731241
13    6.314724    0.742191
14    7.069741    0.745757
15    7.854305    0.753114
16    8.661496    nan
17    9.487649    nan
18    10.322633    nan
19    11.179497    nan
20    12.049371    nan
21    12.929592    nan
22    13.821071    nan
23    14.727735    nan
24    15.647628    nan
25    16.560677    nan
26    17.473810    nan
27    18.389983    nan
28    19.325113    nan
29    20.265697    nan
30    21.224024    nan
31    22.166028    nan
32    23.118499    nan
33    24.069470    nan
34    25.018468    nan
35    25.975222    nan
36    26.928754    nan
37    27.874587    nan
38    28.815592    nan
39    29.762232    nan
40    30.710426    nan
41    31.653833    nan
42    32.587866    nan
43    33.509608    nan
44    34.423508    nan
45    35.326221    nan
46    36.227956    nan
47    37.113389    nan
48    37.993714    nan
49    38.869371    nan
50    39.752562    nan
51    40.628752    nan
52    41.512754    nan
53    42.384712    nan
54    43.249419    nan
55    44.109569    nan
56    44.965554    nan
57    45.826416    nan
58    46.689427    nan
59    47.551522    nan
60    48.414344    nan
61    49.287562    nan
62    50.154749    nan
63    51.031704    nan
64    51.911771    nan
65    52.794030    nan
66    53.684739    nan
67    54.581495    nan
68    55.478218    nan
69    56.395268    nan
70    57.314572    nan
71    58.231677    nan
72    59.160129    nan
73    60.077982    nan
74    60.997637    nan
75    61.916252    nan
76    62.833028    nan
77    63.757671    nan
78    64.690112    nan
79    65.614579    nan
80    66.534439    nan
81    67.458162    nan
82    68.379004    nan
83    69.297175    nan
84    70.208827    nan
85    71.116407    nan
86    72.032449    nan
87    72.952952    nan
88    73.875823    nan
89    74.789415    nan
90    75.702244    nan
91    76.606566    nan
92    77.515920    nan
93    78.423257    nan
94    79.327174    nan
95    80.226695    nan
96    81.104202    nan
97    81.965214    nan
98    82.803503    nan
99    83.631927    nan
100    84.459319    nan
101    85.278624    nan
102    86.069595    nan
103    86.842801    nan
104    87.596052    nan
105    88.326450    nan
106    89.034632    nan
107    89.732456    nan
108    90.425682    nan
109    91.088816    nan
110    91.716385    nan
111    92.320761    nan
112    92.898256    nan
113    93.460499    nan
114    93.989077    nan
115    94.497286    nan
116    94.965117    nan
117    95.420268    nan
118    95.851665    nan
119    96.252875    nan
120    96.625237    nan
121    96.965510    nan
122    97.288114    nan
123    97.578771    nan
124    97.840662    nan
125    98.065960    nan
126    98.258517    nan
127    98.433454    nan
128    98.583772    nan
129    98.709579    nan
130    98.822532    nan
131    98.911151    nan
132    98.976540    nan
133    99.029551    nan
134    99.057489    nan
135    99.074506    nan
136    99.075474    nan
137    99.053853    nan
138    99.029299    nan
139    98.992563    nan
140    98.947471    nan
141    98.888176    nan
142    98.828687    nan
143    98.762600    nan
144    98.695655    nan
145    98.633134    nan
146    98.575383    nan
147    98.503023    nan
148    98.428930    nan
149    98.350442    nan
150    98.270129    nan
151    98.216967    nan
152    98.155966    nan
153    98.101661    nan
154    98.037081    nan
155    97.983601    nan
156    97.936587    nan
157    97.899839    nan
158    97.860311    nan
159    97.821395    nan
160    97.782117    nan
161    97.756490    nan
162    97.722080    nan
163    97.694226    nan
164    97.660538    nan
165    97.614645    nan
166    97.564631    nan
167    97.523280    nan
168    97.467274    nan
169    97.391067    nan
170    97.301681    nan
171    97.207959    nan
172    97.095479    nan
173    96.968591    nan
174    96.832844    nan
175    96.691387    nan
176    96.531406    nan
177    96.352431    nan
178    96.153705    nan
179    95.946891    nan
180    95.713097    nan
181    95.465311    nan
182    95.185926    nan
183    94.886629    nan
184    94.570827    nan
185    94.228927    nan
186    93.864558    nan
187    93.485161    nan
188    93.071270    nan
189    92.636441    nan
190    92.181771    nan
191    91.714856    nan
192    91.229340    nan
193    90.735347    nan
194    90.234736    nan
195    89.721503    nan
196    89.192471    nan
197    88.640849    nan
198    88.090700    nan
199    87.533804    nan
200    86.967187    nan
201    86.406673    nan
202    85.842753    nan
203    85.265701    nan
204    84.682433    nan
205    84.092083    nan
206    83.518008    nan
207    82.955077    nan
208    82.400173    nan
209    81.850243    nan
210    81.301275    nan
211    80.753429    nan
212    80.197903    nan
213    79.650612    nan
214    79.119540    nan
215    78.602076    nan
216    78.092989    nan
217    77.586980    nan
218    77.092193    nan
219    76.597925    nan
220    76.109348    nan
221    75.652875    nan
222    75.207229    nan
223    74.765296    nan
224    74.338714    nan
225    73.924684    nan
226    73.524434    nan
227    73.140484    nan
228    72.754803    nan
229    72.389659    nan
230    72.047537    nan
231    71.720769    nan
232    71.407343    nan
233    71.102512    nan
234    70.810829    nan
235    70.542927    nan
236    70.278377    nan
237    70.037342    nan
238    69.808151    nan
239    69.602691    nan
240    69.407565    nan
241    69.228724    nan
242    69.068904    nan
243    68.926669    nan
244    68.811624    nan
245    68.707025    nan
246    68.595000    nan
247    68.502494    nan
248    68.431313    nan
249    68.375298    nan
250    68.325124    nan
251    68.271792    nan
252    68.238266    nan
253    68.209235    nan
254    68.190252    nan
255    68.181563    nan
