# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.319353    0.214316
2    0.555599    0.330916
3    0.814658    0.402686
4    1.116744    0.452408
5    1.469220    0.491236
6    1.876461    0.517706
7    2.338250    0.540550
8    2.851128    0.563032
9    3.408355    0.580086
10    4.015875    0.592237
11    4.669619    0.600951
12    5.378701    0.611303
13    6.137586    0.616560
14    6.948141    0.619219
15    7.812100    0.627351
16    8.714119    nan
17    9.653881    nan
18    10.640783    nan
19    11.671153    nan
20    12.725767    nan
21    13.821233    nan
22    14.950864    nan
23    16.096323    nan
24    17.275944    nan
25    18.486589    nan
26    19.727459    nan
27    20.982641    nan
28    22.268680    nan
29    23.571050    nan
30    24.899505    nan
31    26.252373    nan
32    27.632644    nan
33    29.036996    nan
34    30.459540    nan
35    31.905423    nan
36    33.389598    nan
37    34.892477    nan
38    36.407731    nan
39    37.951649    nan
40    39.522530    nan
41    41.102976    nan
42    42.703431    nan
43    44.328574    nan
44    45.984817    nan
45    47.659892    nan
46    49.362796    nan
47    51.091379    nan
48    52.847274    nan
49    54.635080    nan
50    56.444374    nan
51    58.285814    nan
52    60.153606    nan
53    62.042373    nan
54    63.955657    nan
55    65.888859    nan
56    67.850275    nan
57    69.838033    nan
58    71.861160    nan
59    73.909126    nan
60    75.976844    nan
61    78.068379    nan
62    80.181499    nan
63    82.327296    nan
64    84.493855    nan
65    86.681380    nan
66    88.889955    nan
67    91.124874    nan
68    93.375894    nan
69    95.647631    nan
70    97.942641    nan
71    100.255041    nan
72    102.582065    nan
73    104.932571    nan
74    107.296261    nan
75    109.674482    nan
76    112.060112    nan
77    114.462984    nan
78    116.879075    nan
79    119.312186    nan
80    121.758288    nan
81    124.211588    nan
82    126.675524    nan
83    129.154285    nan
84    131.640370    nan
85    134.131654    nan
86    136.624422    nan
87    139.122441    nan
88    141.612060    nan
89    144.097082    nan
90    146.580841    nan
91    149.067378    nan
92    151.544838    nan
93    154.017582    nan
94    156.483155    nan
95    158.949740    nan
96    161.415843    nan
97    163.874726    nan
98    166.327155    nan
99    168.773927    nan
100    171.211165    nan
101    173.637002    nan
102    176.058190    nan
103    178.471174    nan
104    180.874920    nan
105    183.273312    nan
106    185.655126    nan
107    188.022175    nan
108    190.381486    nan
109    192.723605    nan
110    195.059170    nan
111    197.376420    nan
112    199.687823    nan
113    201.983875    nan
114    204.272723    nan
115    206.542661    nan
116    208.797599    nan
117    211.039061    nan
118    213.271591    nan
119    215.507507    nan
120    217.736221    nan
121    219.953460    nan
122    222.163981    nan
123    224.367118    nan
124    226.564502    nan
125    228.759897    nan
126    230.954936    nan
127    233.135777    nan
128    235.301284    nan
129    237.465720    nan
130    239.631189    nan
131    241.784039    nan
132    243.927115    nan
133    246.063400    nan
134    248.198444    nan
135    250.317457    nan
136    252.434015    nan
137    254.547994    nan
138    256.651239    nan
139    258.745358    nan
140    260.830296    nan
141    262.915522    nan
142    264.995277    nan
143    267.065942    nan
144    269.120403    nan
145    271.156855    nan
146    273.173363    nan
147    275.180304    nan
148    277.176088    nan
149    279.149460    nan
150    281.106925    nan
151    283.060922    nan
152    284.995403    nan
153    286.914089    nan
154    288.814325    nan
155    290.692692    nan
156    292.559889    nan
157    294.397456    nan
158    296.216734    nan
159    298.012439    nan
160    299.780432    nan
161    301.518614    nan
162    303.230116    nan
163    304.917787    nan
164    306.567645    nan
165    308.202427    nan
166    309.794981    nan
167    311.366814    nan
168    312.903938    nan
169    314.415412    nan
170    315.903645    nan
171    317.362710    nan
172    318.800145    nan
173    320.220429    nan
174    321.617494    nan
175    322.995881    nan
176    324.357940    nan
177    325.693737    nan
178    327.009151    nan
179    328.312127    nan
180    329.603610    nan
181    330.882739    nan
182    332.149713    nan
183    333.408080    nan
184    334.652635    nan
185    335.882572    nan
186    337.093220    nan
187    338.292839    nan
188    339.483992    nan
189    340.653727    nan
190    341.813619    nan
191    342.962911    nan
192    344.092345    nan
193    345.208137    nan
194    346.317905    nan
195    347.407903    nan
196    348.490360    nan
197    349.559191    nan
198    350.619372    nan
199    351.670551    nan
200    352.701424    nan
201    353.708315    nan
202    354.706106    nan
203    355.687316    nan
204    356.653142    nan
205    357.605493    nan
206    358.525324    nan
207    359.435370    nan
208    360.327134    nan
209    361.198158    nan
210    362.050082    nan
211    362.884141    nan
212    363.688407    nan
213    364.478249    nan
214    365.249466    nan
215    366.002377    nan
216    366.740524    nan
217    367.459022    nan
218    368.162169    nan
219    368.850956    nan
220    369.520198    nan
221    370.170425    nan
222    370.807705    nan
223    371.437805    nan
224    372.043776    nan
225    372.632547    nan
226    373.198251    nan
227    373.741186    nan
228    374.263065    nan
229    374.769791    nan
230    375.251916    nan
231    375.714138    nan
232    376.162043    nan
233    376.608440    nan
234    377.033303    nan
235    377.451043    nan
236    377.848463    nan
237    378.229170    nan
238    378.597645    nan
239    378.948608    nan
240    379.280906    nan
241    379.589265    nan
242    379.863417    nan
243    380.120443    nan
244    380.357699    nan
245    380.583573    nan
246    380.793541    nan
247    380.984421    nan
248    381.154094    nan
249    381.308477    nan
250    381.441333    nan
251    381.546811    nan
252    381.637947    nan
253    381.703465    nan
254    381.754496    nan
255    381.784053    nan
